season,week,player_name,position,prior_signal_band,prev1_opportunity,prev3_opportunity_mean,positive_worp,weekly_worp,fantasy_points
2023,12,D'Ernest Johnson,RB,MID_PRIOR_USAGE,8.0,5.0,True,0.0233904140624999,11.0
2025,6,Julian Hill,TE,MID_PRIOR_USAGE,5.0,2.6666666666666665,True,0.0229165,10.1
2024,16,Tommy Tremble,TE,MID_PRIOR_USAGE,2.0,4.0,True,0.0205064062499999,11.2
2024,14,Tommy Tremble,TE,HIGH_PRIOR_USAGE,8.0,4.333333333333333,True,0.0191310859375,8.3
2023,2,Nick Westbrook-Ikhine,WR,HIGH_PRIOR_USAGE,7.0,7.0,True,0.0190080781249999,12.0
2025,7,Zay Jones,WR,HIGH_PRIOR_USAGE,8.0,4.666666666666667,True,0.0186571484375,10.7
2023,8,P.J. Walker,QB,HIGH_PRIOR_USAGE,35.0,24.0,True,0.0178384531249999,17.82
2024,8,Nick Westbrook-Ikhine,WR,MID_PRIOR_USAGE,4.0,2.0,True,0.0169918515624999,12.4
2023,17,Cedrick Wilson,WR,MID_PRIOR_USAGE,5.0,4.0,True,0.0165644374999998,11.2
2023,7,Colby Parkinson,TE,MID_PRIOR_USAGE,5.0,3.3333333333333335,True,0.0135154921874999,7.6
2025,7,Van Jefferson,WR,MID_PRIOR_USAGE,6.0,2.3333333333333335,True,0.009312,9.6
2024,3,Tommy Tremble,TE,MID_PRIOR_USAGE,4.0,4.0,True,0.0087426640625,9.9
2024,3,Lil'Jordan Humphrey,WR,MID_PRIOR_USAGE,5.0,3.0,True,0.0083488515624999,10.2
2024,10,Jeremy McNichols,RB,MID_PRIOR_USAGE,9.0,5.666666666666667,True,0.0070413749999998,8.0
2025,18,Marquez Valdes-Scantling,WR,HIGH_PRIOR_USAGE,9.0,4.333333333333333,True,0.0064087734375,9.4
2024,7,Simi Fehoko,WR,MID_PRIOR_USAGE,4.0,2.3333333333333335,True,0.0061635625,9.0
2023,8,Noah Brown,WR,MID_PRIOR_USAGE,5.0,1.6666666666666667,True,0.0032488906249999,10.2
2024,12,Brevyn Spann-Ford,TE,MID_PRIOR_USAGE,5.0,1.6666666666666667,True,0.0019026093749999,7.4
2024,12,Darnell Washington,TE,MID_PRIOR_USAGE,4.0,2.6666666666666665,True,0.0019026093749999,7.4
2024,18,Devin Culp,TE,MID_PRIOR_USAGE,4.0,1.3333333333333333,True,0.0004620156249999,9.6
2023,17,Colby Parkinson,TE,MID_PRIOR_USAGE,4.0,2.3333333333333335,False,-0.0004988124999999,9.8
2025,15,Mack Hollins,WR,MID_PRIOR_USAGE,4.0,5.0,False,-0.0008533984375,9.1
2025,10,Isaiah Williams,WR,MID_PRIOR_USAGE,4.0,1.3333333333333333,False,-0.00087621875,7.4
2024,12,Jalen Brooks,WR,MID_PRIOR_USAGE,4.0,3.3333333333333335,False,-0.000919703125,6.6000000000000005
2024,18,Clyde Edwards-Helaire,RB,MID_PRIOR_USAGE,9.0,3.0,False,-0.000937828125,7.6
2025,18,Kevin Austin,WR,MID_PRIOR_USAGE,5.0,4.333333333333333,False,-0.0011509609374999,8.7
2023,14,Xavier Gipson,WR,MID_PRIOR_USAGE,6.0,3.3333333333333335,False,-0.0022541562499999,8.4
2024,18,Dante Pettis,WR,MID_PRIOR_USAGE,4.0,5.333333333333333,False,-0.0029008203124999,10.1
2025,17,Stone Smartt,TE,MID_PRIOR_USAGE,5.0,2.0,False,-0.0032112578124999,7.8
2025,18,Isaiah Williams,WR,MID_PRIOR_USAGE,5.0,5.333333333333333,False,-0.0043099765624999,8.4
2023,15,Alex Erickson,WR,HIGH_PRIOR_USAGE,7.0,3.6666666666666665,False,-0.0048716484374999,8.3
2024,14,Josh Oliver,TE,MID_PRIOR_USAGE,3.0,4.666666666666667,False,-0.0048780390624999,5.6
2024,7,Harrison Bryant,TE,MID_PRIOR_USAGE,5.0,2.3333333333333335,False,-0.0060673906249999,7.9
2024,5,Sterling Shepard,WR,MID_PRIOR_USAGE,5.0,1.6666666666666667,False,-0.0073263671875,7.4
2024,18,Jordan Mims,RB,MID_PRIOR_USAGE,12.0,6.0,False,-0.0075581015625,6.9
2023,6,Nelson Agholor,WR,MID_PRIOR_USAGE,5.0,3.6666666666666665,False,-0.007663984375,7.0
2024,16,Dyami Brown,WR,MID_PRIOR_USAGE,4.0,3.6666666666666665,False,-0.007816578125,9.1
2023,17,Jamal Agnew,WR,MID_PRIOR_USAGE,5.0,2.3333333333333335,False,-0.008997859375,8.8
2025,17,Isaiah Williams,WR,MID_PRIOR_USAGE,4.0,4.666666666666667,False,-0.009833984375,7.7
2025,17,David Sills,WR,MID_PRIOR_USAGE,1.0,5.0,False,-0.009833984375,7.7
2023,13,Nick Westbrook-Ikhine,WR,MID_PRIOR_USAGE,5.0,3.3333333333333335,False,-0.010353953125,4.300000000000001
2023,5,Drew Ogletree,TE,MID_PRIOR_USAGE,4.0,2.6666666666666665,False,-0.0104852734375,6.6
2023,3,Nelson Agholor,WR,MID_PRIOR_USAGE,6.0,3.0,False,-0.0108058906249999,8.4
2024,6,Ameer Abdullah,RB,MID_PRIOR_USAGE,8.0,3.3333333333333335,False,-0.0108913359375,6.6000000000000005
