season,from_rank,to_rank,worp_difference
2018,1,8,0.41088651562499967
2018,8,20,0.8269885468749998
2018,20,40,0.6532409062500004
2018,30,50,0.39271123437500005
2018,40,55,0.2946477578124997
2018,45,54,0.20166332031249978
2018,48,60,0.25032768749999945
2018,55,72,0.1404952656250002
2018,60,72,0.061969820312500534
2019,1,8,1.2392018671874998
2019,8,20,0.36012530468750037
2019,20,40,0.6129584296875
2019,30,50,0.5294274140625002
2019,40,55,0.3205957499999999
2019,45,54,0.1965203749999998
2019,48,60,0.21662217968749986
2019,55,72,0.20484538281250003
2019,60,72,0.10451107812500016
2020,1,8,0.9617609375000005
2020,8,20,0.43142446093749953
2020,20,40,0.5648590312500003
2020,30,50,0.5598246640624998
2020,40,55,0.28078725
2020,45,54,0.13304010937499972
2020,48,60,0.12323039062499996
2020,55,72,0.2375136015625
2020,60,72,0.1859453671875
2021,1,8,1.9411857968750001
2021,8,20,0.42282649999999977
2021,20,40,0.8149814453124999
2021,30,50,0.4710116015625002
2021,40,55,0.3276614140625003
2021,45,54,0.20347725781250003
2021,48,60,0.18700857812500005
2021,55,72,0.15089417968750002
2021,60,72,0.08573125781250002
2022,1,8,1.0071978671874997
2022,8,20,0.651380390625
2022,20,40,0.5394280781250002
2022,30,50,0.5200449062499999
2022,40,55,0.5679400390624995
2022,45,54,0.3662893984374996
2022,48,60,0.3512456406250003
2022,55,72,0.0778222187500004
2022,60,72,0.044213382812499924
2023,1,8,1.4104656562500004
2023,8,20,0.5353923046874995
2023,20,40,0.6245866874999999
2023,30,50,0.6912870703124998
2023,40,55,0.40714252343749996
2023,45,54,0.19630036718749988
2023,48,60,0.280813015625
2023,55,72,0.225923984375
2023,60,72,0.10962661718749983
2024,1,8,1.3056714921875003
2024,8,20,0.4659169375000003
2024,20,40,0.5285298359374997
2024,30,50,0.6978820937499999
2024,40,55,0.48123590624999973
2024,45,54,0.2254523437500004
2024,48,60,0.16643417187500026
2024,55,72,0.1824966171875
2024,60,72,0.10758442968749948
2025,1,8,1.5864602968749995
2025,8,20,0.4412555234375002
2025,20,40,0.48226063281250003
2025,30,50,0.48976181250000017
2025,40,55,0.3951433984374998
2025,45,54,0.18220225000000018
2025,48,60,0.2196724609375001
2025,55,72,0.15007628906250003
2025,60,72,0.11933471093749992
