position,positive_free_player_weeks,positive_free_worp,median_volume,p75_volume,worp_share_below_median_volume,worp_share_at_or_above_p75_volume
QB,28,2.3719344062499985,32.5,40.0,0.3115779043531466,0.51490269328037
RB,64,2.358562265624996,8.0,11.25,0.43430268380197323,0.28901844565861545
WR,170,8.60759383593749,4.0,6.0,0.28890108282120813,0.4683611907436631
TE,244,10.30172242968749,3.0,4.0,0.17727284775332428,0.6378950641969825
