season,position,roster_state,positive_worp,high_volume_positive_worp,high_volume_worp_share
2023,QB,BENCHED,20.256513773437497,14.198530507812496,0.7009365316568503
2023,QB,FREE,1.8693036640624991,0.9956900624999996,0.53265292399636
2023,RB,BENCHED,11.811758109374992,5.980648249999997,0.5063300648912846
2023,RB,FREE,0.7420234765624988,0.1669704999999998,0.22502050847974253
2023,WR,BENCHED,18.617381351562486,10.103023710937496,0.542666206388343
2023,WR,FREE,3.811461406249996,1.3218682734374996,0.34681402552572443
2023,TE,BENCHED,13.162157421874994,5.343230289062498,0.4059539874657825
2023,TE,FREE,3.6072225937499964,0.2190444531249999,0.06072385261295607
2024,QB,BENCHED,20.280764953124994,13.420478484374994,0.6617343337588003
2024,QB,FREE,0.1980728125,0.1980728125,1.0
2024,RB,BENCHED,14.79065221874999,7.868370359374996,0.5319826497847286
2024,RB,FREE,1.009799531249999,0.1919777343749999,0.19011469943678497
2024,WR,BENCHED,18.776714929687486,10.457901031249992,0.5569611654866856
2024,WR,FREE,2.4215528984374974,0.5801161796874998,0.2395637031352149
2024,TE,BENCHED,12.437602570312496,6.157142429687499,0.4950425449663488
2024,TE,FREE,3.9580761640624975,0.8384399296874998,0.21183016570023258
2025,QB,BENCHED,25.362000070312497,14.674330843749997,0.5785951740031356
2025,QB,FREE,0.30455792968749973,0.1127026796874999,0.3700533419147604
2025,RB,BENCHED,14.40485860937499,8.570966085937497,0.5950052213882425
2025,RB,FREE,0.6067392578124983,0.1061356640624999,0.1749279656720337
2025,WR,BENCHED,17.80373243749999,10.898523414062494,0.6121482364623129
2025,WR,FREE,2.3745795312499975,0.8852960468749997,0.3728222345153345
2025,TE,BENCHED,16.18475737499999,6.992660804687498,0.4320522478445558
2025,TE,FREE,2.736423671874996,0.2621612187499999,0.09580432352069489
