season,roster_tier,mean_worp,median_worp,min_worp,max_worp,n
2016,1,1.6593512187499997,1.6030454218749999,1.2002038984375,2.1604821875,12
2016,2,1.0575880397135415,1.0411797968749998,0.9201868749999996,1.191562140625,12
2016,3,0.8159732740885416,0.8007607812499998,0.7465677968749997,0.9149542109374996,12
2016,4,0.5925982858072916,0.6127713671874999,0.4646298828124998,0.7371463203124997,12
2016,5,0.3436784986979166,0.3428670625,0.20071684375,0.4522181796874998,12
2016,6,0.1250421197916665,0.1198705273437499,0.0832501562499999,0.1861699140624998,12
2016,7,0.020368819010416653,0.03380389062499995,-0.0548787499999999,0.0705932812499999,12
2016,8,-0.0800133841145833,-0.08092401562500001,-0.096960171875,-0.0593244609374999,12
2016,9,-0.128569134765625,-0.12816937890625,-0.1481911328125,-0.1031604140624999,12
2016,10,-0.17392945442708338,-0.17075549218749997,-0.2056235390625004,-0.1507911718750001,12
2016,11,-0.24722215625,-0.24444590625000007,-0.2809450546875001,-0.2087250234374998,12
2016,12,-0.3151557454427083,-0.308738078125,-0.3627459062499999,-0.2809450546875001,12
2016,13,-0.4025759908854167,-0.39513238671874995,-0.4594104296875,-0.3649613125,12
2016,14,-0.5077127272135417,-0.5232552890625001,-0.5511137265625,-0.4625811875000002,12
2016,15,-0.63158068359375,-0.6337119726562501,-0.6950604921875001,-0.5593082421875002,12
2016,16,-0.7676931803385417,-0.7669405624999999,-0.837312421875,-0.702093125,12
2016,17,-0.9969048502604166,-0.982211875,-1.1757467656249998,-0.83910940625,12
2016,18,-1.31793378125,-1.31762378515625,-1.424047640625,-1.2057500703125,6
2017,1,1.7113853411458335,1.60787582421875,1.3759685000000004,2.4437173359375,12
2017,2,1.1243278489583335,1.10672269140625,0.9127617656250004,1.3531626953125002,12
2017,3,0.7447535592447919,0.7402045625000001,0.6573371875,0.910770203125,12
2017,4,0.5306170878906251,0.5286736523437501,0.4196671015625001,0.6530730781250003,12
2017,5,0.29552628776041673,0.2984413671874999,0.2147310703124999,0.3941479843749999,12
2017,6,0.11266685677083343,0.10082614062500014,0.0110467421875,0.214325078125,12
2017,7,-0.052157765624999936,-0.05811382421874995,-0.0708504062499996,-0.0087633046875,12
2017,8,-0.08331974674479158,-0.08087338281249985,-0.1047318593749999,-0.0726915859375,12
2017,9,-0.11631000846354152,-0.11710124609374986,-0.1293809296875001,-0.1052965624999998,12
2017,10,-0.16659020572916655,-0.1760121835937499,-0.1940512890624998,-0.1330114765624999,12
2017,11,-0.2371086692708332,-0.24980980468749991,-0.2750172812499997,-0.1946177812499998,12
2017,12,-0.3087317643229166,-0.30777635156249983,-0.3310022578125001,-0.2778044140624999,12
2017,13,-0.3624127220052082,-0.3643815898437498,-0.3922637343749997,-0.3328841640624996,12
2017,14,-0.4301869576822915,-0.43044359765624984,-0.4588340312499998,-0.3975551953124999,12
2017,15,-0.5037445703125,-0.49820068749999985,-0.5491270703125,-0.4606310078125001,12
2017,16,-0.6021558424479166,-0.6082865546874999,-0.6477809609374998,-0.5542467031249998,12
2017,17,-0.7413649166666666,-0.7337599843749998,-0.83600221875,-0.6510851484375001,12
2017,18,-1.0085428117187498,-0.9642506874999999,-1.2841394375,-0.8553172187499998,10
2018,1,1.9644234934895834,1.949134203125,1.537404296875,2.3313523750000003,12
2018,2,1.1684168203125,1.1844168164062503,0.9165997421874998,1.4507451796875,12
2018,3,0.6861913528645833,0.6334300664062502,0.5836773828124999,0.89991609375,12
2018,4,0.4778350345052084,0.48290282421875,0.3854384765625002,0.5708128437500001,12
2018,5,0.24838106575520838,0.2387995273437501,0.1686659218750001,0.3747187031250001,12
2018,6,0.11452704882812499,0.12471430859375,0.0675893359375001,0.1498054453124999,12
2018,7,0.009611557291666767,0.01217713671874995,-0.0437898437499997,0.0605598437499999,12
2018,8,-0.07072660156249996,-0.0705749375,-0.0809871015624998,-0.0593196484375,12
2018,9,-0.09723314648437494,-0.0977399882812499,-0.1183275546874998,-0.0848069921875,12
2018,10,-0.13579115494791658,-0.13909193749999987,-0.1470979218749999,-0.1184256796874998,12
2018,11,-0.1628308938802083,-0.16380564453125,-0.1823327890625,-0.1483444921874999,12
2018,12,-0.21082019596354162,-0.2117549609374999,-0.2355895312500001,-0.1833155000000001,12
2018,13,-0.26903594270833325,-0.26086144140625,-0.3095213124999997,-0.2426341249999998,12
2018,14,-0.33090817122395827,-0.3267156874999999,-0.3534493359375,-0.3127675390625,12
2018,15,-0.38402699609374996,-0.37180263671875,-0.4304635703124999,-0.353872203125,12
2018,16,-0.46839843945312487,-0.4632096874999999,-0.4952994843749997,-0.44295259375,12
2018,17,-0.5365066334635417,-0.53426334375,-0.5704124921874998,-0.4979725781249999,12
2018,18,-0.6144478085937499,-0.6013491484375,-0.6868618828124998,-0.5771483203124999,12
2018,19,-0.9078010136718749,-0.8689529804687499,-1.1229510937499998,-0.77791565625,12
2019,1,1.5914081595052083,1.5272005781249998,1.3104310390624998,2.5167979765625,12
2019,2,1.1877625169270833,1.1838360156249996,1.1228055781249997,1.2807884843750004,12
2019,3,0.8661803346354167,0.8497524414062496,0.7078623906249998,1.0802975468750002,12
2019,4,0.5062594303385416,0.48945183203124987,0.4008515312499998,0.6157780859374999,12
2019,5,0.3131380299479167,0.3380348515625,0.2065292578125001,0.3926198593749999,12
2019,6,0.12337264648437495,0.11221865234374995,0.0575581953125,0.2046510781250002,12
2019,7,-0.013269268229166685,-0.01420287109375005,-0.0602200859374998,0.04973834375,12
2019,8,-0.07553751562499995,-0.07378937890625005,-0.0881435468749999,-0.0621213046874999,12
2019,9,-0.10474422591145832,-0.10247222265624989,-0.1272722968750001,-0.08899,12
2019,10,-0.14280400390624995,-0.14164704687499996,-0.162989,-0.1277574609375,12
2019,11,-0.19224231901041658,-0.1916936601562499,-0.2131693593750002,-0.1682287187499999,12
2019,12,-0.23521836718749997,-0.23637377734375015,-0.2539455390624998,-0.2157674453125001,12
2019,13,-0.28591256640625,-0.2906430117187499,-0.3076471093750001,-0.2551404375000001,12
2019,14,-0.3407639720052083,-0.3374155390624999,-0.3814493906249999,-0.3125929140624999,12
2019,15,-0.40616914583333336,-0.4039920820312501,-0.4248342734375,-0.38957634375,12
2019,16,-0.4614238359375,-0.45624075390624996,-0.5008224062500002,-0.4305748906249999,12
2019,17,-0.5428288124999999,-0.5460858945312499,-0.5856108984375,-0.5064082187500001,12
2019,18,-0.6616016555989583,-0.64359081640625,-0.7596592109374998,-0.5974695078125001,12
2019,19,-0.9507446360677084,-0.9673754257812499,-1.1024866640625,-0.7915194765624999,12
2019,20,-1.1895286992187497,-1.1895286992187497,-1.2625346249999998,-1.1165227734374998,2
2020,1,1.7964657473958334,1.6546282734375,1.395136453125,2.7770520703125,12
2020,2,1.1383563216145833,1.081280453125,1.0392079921875,1.374360140625,12
2020,3,0.8678150305989583,0.8849764804687497,0.7108885703124999,1.0308431875,12
2020,4,0.5285497584635417,0.5089774218749998,0.4317478437499999,0.6736580468749999,12
2020,5,0.32311046093749995,0.31800789453124995,0.2407514687499999,0.42893053125,12
2020,6,0.13687262239583334,0.15110215624999995,0.052696859375,0.2268550859374999,12
2020,7,-0.007887383463541708,-0.00021097265625005004,-0.0470503203125,0.0384840234375001,12
2020,8,-0.0707542819010416,-0.07345822656249995,-0.0844196640625,-0.0561205859374998,12
2020,9,-0.10071773697916664,-0.10134256249999996,-0.1102670859375,-0.0851178671875002,12
2020,10,-0.1326804583333333,-0.123658296875,-0.166134140625,-0.1111477890624998,12
2020,11,-0.18884428580729165,-0.1855567109375,-0.2200267656250001,-0.1680976953124999,12
2020,12,-0.2515310091145833,-0.25017738281249996,-0.27122125,-0.2284522421874999,12
2020,13,-0.2903716041666667,-0.2905446406250001,-0.3092891640625,-0.2719712578125,12
2020,14,-0.33316627278645833,-0.3283584726562499,-0.3589370624999999,-0.3123590312500001,12
2020,15,-0.38153453059895837,-0.3767669843750002,-0.4042921015625001,-0.364744328125,12
2020,16,-0.43163381054687505,-0.42819141796875004,-0.4706983671874998,-0.406048078125,12
2020,17,-0.5640704088541667,-0.57158933984375,-0.6166099687500001,-0.4758559921874998,12
2020,18,-0.7142531829427083,-0.7428829882812501,-0.7739939921874999,-0.6234361015625001,12
2020,19,-0.9542410149739583,-0.9362776601562499,-1.1173091796875,-0.7829033671875001,12
2020,20,-1.2504958062500002,-1.2250740703125,-1.4209346875000002,-1.1367500625000002,5
2021,1,2.031806143880208,1.78599791015625,1.4426681718749996,3.6310039921875,12
2021,2,1.2528242330729165,1.2510253476562494,1.050354140625,1.437056203125,12
2021,3,0.8087520390624999,0.7837227460937498,0.6546582109374999,1.0000128437500002,12
2021,4,0.49537407617187496,0.4992012148437501,0.3876080312499998,0.6492099687499999,12
2021,5,0.2751224700520832,0.2717399179687499,0.2032771796874998,0.3548450468749998,12
