structural_band,n_player_weeks,mean_weekly_worp,pizza_slope_worp_per_1sd,pizza_r2,top_minus_bottom_pizza_quartile_worp,mean_pos_rank,mean_boundary
CORE (12+ ranks inside boundary),5353.0,0.08592889544122452,0.017830066371841088,0.028674605279426557,0.04590426615653134,17.9519895385765,47.498131888660566
STARTER EDGE (last 12 inside),1665.0,0.04018280437781531,0.011925476054982637,0.019297008634595048,0.03015282958756376,41.81621621621622,47.445345345345345
TAIL 1 (+1 to +12),1488.0,0.024653711173765122,0.0108304865713918,0.01616813490346869,0.02733746282796244,53.825940860215056,47.492943548387096
TAIL 2 (+13 to +24),1365.0,0.011093377237866305,0.012791228276483562,0.02616184001906674,0.028866920148669394,65.7948717948718,47.386813186813185
DEEP TAIL (+25+),13739.0,-0.04298082910646696,0.004774418541781395,0.007600739140941726,0.010838593060507502,166.16631487007788,47.40279496324332
