season,week,player_id,player_name,position,weekly_worp,fantasy_points,capturability,reason,latest_drop_week,latest_drop_created_utc,latest_drop_transaction_id,player_name_worp,position_worp,weekly_worp_worp,fantasy_points_worp,carries,targets,receptions,pass_attempts,rush_yards,rec_yards,pass_yards,rush_tds,rec_tds,pass_tds,total_tds,scrimmage_yards,volume,volume_band,zero_td,has_td,low_volume,mid_volume,high_volume
2023,3,5973,Josh Oliver,TE,0.016619453125,10.4,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Josh Oliver,TE,0.016619453125,10.4,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,LOW,False,True,True,False,False
2023,3,6865,Colby Parkinson,TE,0.0377354921875,12.8,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Colby Parkinson,TE,0.0377354921875,12.8,0.0,4.0,3.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,MID,True,False,False,True,False
2023,3,7568,Brevin Jordan,TE,0.0245391249999999,11.3,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Brevin Jordan,TE,0.0245391249999999,11.3,0.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,13.0,2.0,LOW,False,True,True,False,False
2023,3,2320,Melvin Gordon,RB,0.01851640625,11.0,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Melvin Gordon,RB,0.01851640625,11.0,10.0,2.0,2.0,0.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,55.0,12.0,MID,True,False,False,True,False
2023,3,3423,Robbie Chosen,WR,0.0630478203125,16.8,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Robbie Chosen,WR,0.0630478203125,16.8,0.0,1.0,1.0,0.0,0.0,68.0,0.0,0.0,1.0,0.0,1.0,68.0,1.0,LOW,False,True,True,False,False
2023,3,616,Jimmy Graham,TE,0.002641984375,8.8,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Jimmy Graham,TE,0.002641984375,8.8,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,8.0,1.0,LOW,False,True,True,False,False
2023,3,6271,Olamide Zaccheaus,WR,0.0408528828124999,14.3,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Olamide Zaccheaus,WR,0.0408528828124999,14.3,0.0,3.0,2.0,0.0,0.0,58.0,0.0,0.0,1.0,0.0,1.0,58.0,3.0,LOW,False,True,True,False,False
2023,4,7050,Josiah Deguara,TE,0.03631728125,12.4,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Josiah Deguara,TE,0.03631728125,12.4,0.0,4.0,4.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,MID,True,False,False,True,False
2023,4,4054,Mo Alie-Cox,TE,0.0283959765624999,11.5,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Mo Alie-Cox,TE,0.0283959765624999,11.5,0.0,1.0,1.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,1.0,35.0,1.0,LOW,False,True,True,False,False
2023,4,8253,Deven Thompkins,WR,0.0794769374999999,17.299999999999997,CAPTURABLE,NO_RECENT_DROP_EVIDENCE,,,,Deven Thompkins,WR,0.0794769374999999,17.299999999999997,1.0,4.0,4.0,0.0,11.0,45.0,0.0,0.0,1.0,0.0,1.0,56.0,4.0,MID,False,True,False,True,False
