position,prior_signal_band,free_player_weeks,positive_worp_cases,hit_rate,positive_worp_sum,worp_per_free_player_week
QB,ZERO_PRIOR_USAGE,1341,10,0.007457121551081283,0.8883427734374997,0.0006624480040548096
QB,LOW_PRIOR_USAGE,204,11,0.05392156862745098,0.8635962109374996,0.0042333147594975475
QB,MID_PRIOR_USAGE,8,3,0.375,0.2320710703124998,0.029008883789062474
QB,HIGH_PRIOR_USAGE,7,4,0.5714285714285714,0.3879243515624998,0.055417764508928546
QB,NO_PRIOR_SAMPLE,49,0,0.0,0.0,0.0
RB,ZERO_PRIOR_USAGE,2436,12,0.0049261083743842365,0.42677017187499927,0.00017519300980090282
RB,LOW_PRIOR_USAGE,630,44,0.06984126984126984,1.615200890624997,0.0025638109374999953
RB,MID_PRIOR_USAGE,33,6,0.18181818181818182,0.22959835156249958,0.00695752580492423
RB,HIGH_PRIOR_USAGE,2,1,0.5,0.0466808046874999,0.02334040234374995
RB,NO_PRIOR_SAMPLE,76,1,0.013157894736842105,0.0403120468749999,0.0005304216694078935
WR,ZERO_PRIOR_USAGE,5582,30,0.005374417771408097,1.1691385937499985,0.00020944797451630213
WR,LOW_PRIOR_USAGE,1625,95,0.05846153846153846,4.861638289062494,0.0029917774086538427
WR,MID_PRIOR_USAGE,189,31,0.164021164021164,1.917693562499998,0.010146526785714274
WR,HIGH_PRIOR_USAGE,23,6,0.2608695652173913,0.2054090390624997,0.008930827785326074
WR,NO_PRIOR_SAMPLE,155,0,0.0,0.0,0.0
TE,ZERO_PRIOR_USAGE,3268,26,0.00795593635250918,1.1823300703124986,0.000361790107194767
TE,LOW_PRIOR_USAGE,1579,180,0.11399620012666245,7.451329882812493,0.004719018291838184
TE,MID_PRIOR_USAGE,91,21,0.23076923076923078,0.770328421874999,0.008465147493131856
TE,HIGH_PRIOR_USAGE,6,4,0.6666666666666666,0.33639960937500013,0.05606660156250002
TE,NO_PRIOR_SAMPLE,94,3,0.031914893617021274,0.1400895781249998,0.0014903146609042534
