wr_starters,weeks,pct_weeks
36,1,1.8518518518518516
37,1,1.8518518518518516
38,1,1.8518518518518516
39,1,1.8518518518518516
41,2,3.7037037037037033
42,4,7.4074074074074066
43,6,11.11111111111111
44,5,9.25925925925926
45,6,11.11111111111111
46,4,7.4074074074074066
47,2,3.7037037037037033
48,8,14.814814814814813
49,4,7.4074074074074066
50,4,7.4074074074074066
51,1,1.8518518518518516
52,2,3.7037037037037033
53,1,1.8518518518518516
54,1,1.8518518518518516
