prior_signal_band,player_weeks,player_week_share,worp,worp_share,median_worp,median_prev1_opportunity,median_prev3_opportunity
ZERO_PRIOR_USAGE,78,0.15757575757575756,3.6665816093749957,0.15867944210561277,0.03215283984374995,0.0,0.0
LOW_PRIOR_USAGE,326,0.6585858585858586,14.715492507812485,0.6368455390379381,0.03143697656249995,1.0,1.3333333333333333
MID_PRIOR_USAGE,61,0.12323232323232323,3.1496914062499966,0.13630987344470608,0.0431465468749999,4.0,3.0
HIGH_PRIOR_USAGE,15,0.030303030303030304,0.9764138046874995,0.042256470548992266,0.047963203125,8.0,5.666666666666667
NO_PRIOR_SAMPLE,15,0.030303030303030304,0.5986677890624992,0.02590867486275072,0.0340196015624999,,
