roster_state,positive_TE_player_weeks,positive_TE_worp,worp_share_targets_le_1,worp_share_targets_le_2,worp_share_with_TD,median_targets,p75_targets
STARTED,759,87.38445619531247,0.0016294229039630732,0.01004088399358908,0.48103535150016036,6.0,8.0
BENCHED,514,41.784517367187476,0.011114986435495133,0.04747287186856925,0.46346667213500004,5.0,6.0
FREE,244,10.30172242968749,0.029781936397679263,0.17727284775332428,0.5321397820161706,3.0,4.0
