season,week,player_id,player_name,position,fantasy_points,weekly_worp,volume,volume_metric,carries,targets,receptions,pass_attempts,scrimmage_yards,pass_yards,total_tds
2024,11,8917,KaVontae Turpin,WR,21.6,0.1184197968749999,3.0,targets,0.0,3.0,3.0,0.0,86.0,0.0,1.0
2025,18,3271,Tyler Higbee,TE,29.1,0.2203844140625001,6.0,targets,0.0,6.0,5.0,0.0,91.0,0.0,1.0
2024,10,5409,Tanner Hudson,TE,25.5,0.1902259531249999,7.0,targets,1.0,7.0,6.0,0.0,43.0,0.0,1.0
2024,8,6869,Adam Trautman,TE,25.5,0.1797930078125,4.0,targets,0.0,4.0,4.0,0.0,85.0,0.0,1.0
2024,9,5973,Josh Oliver,TE,24.8,0.1702788984375001,5.0,targets,0.0,5.0,5.0,0.0,58.0,0.0,1.0
2025,16,10231,Elijah Higgins,TE,27.1,0.163803625,8.0,targets,0.0,8.0,7.0,0.0,91.0,0.0,0.0
2023,14,10214,Davis Allen,TE,21.0,0.1609411796875,5.0,targets,0.0,5.0,4.0,0.0,50.0,0.0,1.0
2024,18,5032,Jordan Akins,TE,26.0,0.1608856953125001,8.0,targets,0.0,8.0,6.0,0.0,60.0,0.0,1.0
2023,11,5973,Josh Oliver,TE,20.7,0.1569348515624999,4.0,targets,0.0,4.0,4.0,0.0,47.0,0.0,1.0
2024,13,7694,Tommy Tremble,TE,21.7,0.14040375,8.0,targets,0.0,8.0,5.0,0.0,77.0,0.0,0.0
2023,13,6850,Harrison Bryant,TE,21.9,0.1397900859374999,5.0,targets,0.0,5.0,5.0,0.0,49.0,0.0,1.0
2025,10,6865,Colby Parkinson,TE,21.1,0.130017859375,5.0,targets,0.0,5.0,4.0,0.0,41.0,0.0,1.0
2024,5,8127,Charlie Kolar,TE,21.8,0.129712296875,4.0,targets,1.0,4.0,3.0,0.0,66.0,0.0,1.0
2024,18,3271,Tyler Higbee,TE,22.6,0.127604921875,7.0,targets,0.0,7.0,5.0,0.0,46.0,0.0,1.0
2025,12,6865,Colby Parkinson,TE,20.1,0.1214093359374999,4.0,targets,0.0,4.0,4.0,0.0,41.0,0.0,1.0
2024,15,10212,Josh Whyle,TE,20.7,0.1151177734375,5.0,targets,0.0,5.0,5.0,0.0,37.0,0.0,1.0
