season,capturable_player_weeks,capturable_worp,low_volume_worp_share,high_volume_worp_share,zero_td_worp_share,has_td_worp_share,median_volume,median_worp
2023,190,9.55059840624999,0.29923728699342705,0.24980575988057618,0.2986904119021676,0.7013095880978325,4.0,0.032953480468750004
2024,157,7.572751695312495,0.34006307278390546,0.2388308410230221,0.35848786996151083,0.6415121300384892,4.0,0.036236546875
2025,148,5.983497015624992,0.3812831244909875,0.2283439944579443,0.4561250355662492,0.5438749644337508,4.0,0.0331862539062499
