position,target_band,player_weeks,player_week_share,worp,worp_share,median_targets,median_worp,td_worp_share
WR,0-2_TARGETS,36,0.21301775147928995,1.3716139843749982,0.16307796996120869,2.0,0.031299687499999895,0.906987764585506
WR,3-6_TARGETS,104,0.6153846153846154,4.448699351562494,0.5289278670858244,4.0,0.0309627499999999,0.724718766422736
WR,7+_TARGETS,29,0.17159763313609466,2.5904731406249986,0.30799416295296694,8.0,0.0894179843749999,0.5400448081754565
TE,0-2_TARGETS,81,0.3446808510638298,1.7910301484374964,0.1792606875027704,2.0,0.016619453125,0.8686037307117327
TE,3-6_TARGETS,143,0.6085106382978723,7.001499968749993,0.7007663712661115,4.0,0.0390982187499999,0.4674577745280379
TE,7+_TARGETS,11,0.04680851063829787,1.1986741640624996,0.119972941231118,7.0,0.0983575937499999,0.48118963704253653
