season,week,player_id,player_name,position,roster_state,fantasy_points,weekly_worp,volume,volume_metric,carries,targets,receptions,pass_attempts,scrimmage_yards,pass_yards,total_tds
2023,3,9226,De'Von Achane,RB,BENCHED,63.400000000000006,0.4304403125,22.0,carries + targets,18.0,4.0,4.0,0.0,233.0,0.0,4.0
2024,16,6813,Jonathan Taylor,RB,BENCHED,55.1,0.4272558671874998,29.0,carries + targets,29.0,0.0,0.0,0.0,218.0,0.0,3.0
2024,6,9506,Sean Tucker,RB,BENCHED,42.00000000000001,0.3690196875,17.0,carries + targets,14.0,3.0,3.0,0.0,192.0,0.0,2.0
2025,11,9506,Sean Tucker,RB,BENCHED,41.8,0.32311096875,21.0,carries + targets,19.0,2.0,2.0,0.0,140.0,0.0,3.0
2025,4,7567,Kenny Gainwell,RB,BENCHED,38.2,0.3201111171874999,25.0,carries + targets,19.0,6.0,6.0,0.0,134.0,0.0,2.0
2025,14,5967,Tony Pollard,RB,BENCHED,38.1,0.311588140625,25.0,carries + targets,25.0,0.0,0.0,0.0,161.0,0.0,2.0
2025,3,5892,David Montgomery,RB,BENCHED,36.3,0.2998326484374999,13.0,carries + targets,12.0,1.0,1.0,0.0,164.0,0.0,2.0
2024,18,6813,Jonathan Taylor,RB,BENCHED,38.3,0.299154578125,36.0,carries + targets,34.0,2.0,1.0,0.0,180.0,0.0,1.0
2023,14,3164,Ezekiel Elliott,RB,BENCHED,33.4,0.2984508046874999,30.0,carries + targets,22.0,8.0,7.0,0.0,140.0,0.0,1.0
2023,17,8205,Isiah Pacheco,RB,BENCHED,36.1,0.2892133515624999,25.0,carries + targets,18.0,7.0,7.0,0.0,165.0,0.0,1.0
2024,4,4219,Jeremy McNichols,RB,FREE,23.0,0.1559520546875,9.0,carries + targets,8.0,1.0,1.0,0.0,74.0,0.0,2.0
2023,18,6908,La'Mical Perine,RB,FREE,20.1,0.1164748437499999,25.0,carries + targets,21.0,4.0,3.0,0.0,109.0,0.0,0.0
2025,15,11588,Jawhar Jordan,RB,FREE,21.3,0.1061356640624999,17.0,carries + targets,15.0,2.0,2.0,0.0,118.0,0.0,0.0
2023,11,6039,Ty Johnson,RB,FREE,16.4,0.1048116484375,6.0,carries + targets,3.0,3.0,3.0,0.0,58.0,0.0,1.0
2024,5,4718,Dare Ogunbowale,RB,FREE,19.2,0.1039502421874999,22.0,carries + targets,15.0,7.0,6.0,0.0,87.0,0.0,0.0
2024,7,6996,JaMycal Hasty,RB,FREE,16.6,0.0951804140625,7.0,carries + targets,2.0,5.0,5.0,0.0,47.0,0.0,1.0
2024,14,8220,Sincere McCormick,RB,FREE,15.9,0.0880274921875,18.0,carries + targets,15.0,3.0,2.0,0.0,89.0,0.0,0.0
2024,4,4718,Dare Ogunbowale,RB,FREE,16.8,0.0844156875,6.0,carries + targets,2.0,4.0,4.0,0.0,54.0,0.0,1.0
2024,5,2359,Ameer Abdullah,RB,FREE,17.099999999999998,0.082734546875,8.0,carries + targets,5.0,3.0,3.0,0.0,51.0,0.0,1.0
2023,2,6984,Tony Jones,RB,FREE,18.8,0.081571484375,14.0,carries + targets,12.0,2.0,0.0,0.0,34.0,0.0,2.0
2024,10,7564,Ja'Marr Chase,WR,STARTED,67.4,0.4868855703125,17.0,targets,0.0,17.0,11.0,0.0,264.0,0.0,3.0
2023,16,2309,Amari Cooper,WR,STARTED,62.0,0.468432078125,15.0,targets,0.0,15.0,11.0,0.0,265.0,0.0,2.0
2023,1,3321,Tyreek Hill,WR,STARTED,51.0,0.4580706250000001,15.0,targets,0.0,15.0,11.0,0.0,215.0,0.0,2.0
2023,5,7564,Ja'Marr Chase,WR,STARTED,61.7,0.4045399609375,19.0,targets,0.0,19.0,15.0,0.0,192.0,0.0,3.0
2024,13,6783,Jerry Jeudy,WR,STARTED,50.5,0.4013163984374999,13.0,targets,0.0,13.0,9.0,0.0,235.0,0.0,1.0
2024,5,7564,Ja'Marr Chase,WR,STARTED,50.3,0.4002375390625,12.0,targets,0.0,12.0,10.0,0.0,193.0,0.0,2.0
2023,17,6786,CeeDee Lamb,WR,STARTED,48.400000000000006,0.3937971640625,17.0,targets,1.0,17.0,13.0,0.0,232.0,0.0,1.0
2025,16,9493,Puka Nacua,WR,STARTED,55.0,0.3853333359375,16.0,targets,0.0,16.0,12.0,0.0,225.0,0.0,2.0
2024,14,7564,Ja'Marr Chase,WR,STARTED,52.3,0.38498090625,18.0,targets,1.0,18.0,14.0,0.0,191.0,0.0,2.0
2023,3,1479,Keenan Allen,WR,STARTED,56.96,0.38428321875,20.0,targets,0.0,20.0,18.0,1.0,215.0,49.0,1.0
2025,3,10213,Tre Tucker,WR,BENCHED,47.1,0.3888055859375,9.0,targets,1.0,9.0,8.0,0.0,149.0,0.0,3.0
2023,8,1426,DeAndre Hopkins,WR,BENCHED,40.8,0.2863651406249999,6.0,targets,0.0,6.0,4.0,0.0,128.0,0.0,3.0
2023,2,9493,Puka Nacua,WR,BENCHED,35.5,0.2857876015625,20.0,targets,2.0,20.0,15.0,0.0,151.0,0.0,0.0
2024,8,11635,Ladd McConkey,WR,BENCHED,34.6,0.2685953515625,6.0,targets,0.0,6.0,6.0,0.0,111.0,0.0,2.0
2025,2,11620,Rome Odunze,WR,BENCHED,34.8,0.2609924531249999,11.0,targets,0.0,11.0,7.0,0.0,128.0,0.0,2.0
