pos_rank,seasons,season_worp,positive_week_pct,top2_positive_share,weeks_to_75pct_positive,season_worp_smooth,positive_week_pct_smooth,top2_positive_share_smooth,weeks_to_75pct_positive_smooth
1,3,2.9438579739583335,0.9791666666666666,0.26070077845268,9.0,2.5751849348958333,0.9411764705882352,0.26070077845268,9.0
2,3,2.5751849348958333,0.9411764705882352,0.24788362534231312,9.0,2.3699790924479167,0.9313725490196078,0.2690770866989397,8.666666666666668
3,3,2.16477325,0.9007352941176471,0.27745339494519944,8.333333333333334,2.16477325,0.9215686274509803,0.27745339494519944,8.333333333333334
4,3,1.9284397161458333,0.9215686274509803,0.31614980793984415,7.333333333333333,1.9284397161458333,0.9007352941176471,0.27954719292767666,8.0
5,3,1.8365568203124998,0.8039215686274509,0.27954719292767666,7.333333333333333,1.8365568203124998,0.8602941176470589,0.31614980793984415,7.333333333333333
6,3,1.6308834791666669,0.8602941176470589,0.3220789303787019,8.0,1.6308834791666669,0.8431372549019608,0.31614980793984415,7.333333333333333
7,3,1.5397017213541666,0.8431372549019608,0.3569141721698705,7.333333333333333,1.5397017213541666,0.8431372549019608,0.3200724040294085,7.333333333333333
8,3,1.5096588255208332,0.8379084967320262,0.2697413967834699,7.333333333333333,1.5096588255208332,0.8431372549019608,0.3220789303787019,7.333333333333333
9,3,1.4339880911458331,0.861904761904762,0.3200724040294085,6.0,1.4339880911458331,0.8379084967320262,0.3502150098018097,6.333333333333333
10,3,1.4005305677083333,0.8285256410256411,0.3704476973606714,6.0,1.4005305677083333,0.8285256410256411,0.3502150098018097,6.0
11,3,1.3560906874999998,0.7829131652661064,0.3502150098018097,6.333333333333333,1.3560906874999998,0.7829131652661064,0.3502150098018097,6.0
12,3,1.3074271770833334,0.770343137254902,0.38255955852037254,6.0,1.3074271770833334,0.770343137254902,0.355226220935499,6.333333333333333
13,3,1.3007274661458335,0.7655228758169935,0.3393153822486897,6.666666666666667,1.3007274661458335,0.770343137254902,0.355226220935499,6.333333333333333
14,3,1.2725239739583332,0.7647058823529411,0.355226220935499,6.333333333333333,1.2725239739583332,0.7655228758169935,0.38255955852037254,6.0
15,3,1.2606134895833332,0.8083333333333332,0.4134991257094571,6.0,1.2606134895833332,0.7655228758169935,0.355226220935499,6.333333333333333
16,3,1.1742134869791665,0.6758169934640522,0.4644835590431124,5.0,1.1742134869791665,0.7647058823529411,0.3632542911834215,6.0
17,3,1.1597196510416665,0.8210784313725489,0.317614050339171,7.666666666666667,1.1597196510416665,0.7625377073906486,0.3724841724356713,6.0
18,3,1.0713786510416667,0.7625377073906486,0.3632542911834215,6.0,1.0713786510416667,0.7625377073906486,0.3632542911834215,6.0
19,3,1.0615278177083332,0.6666666666666666,0.3724841724356713,6.0,1.0615278177083332,0.7625377073906486,0.3632542911834215,6.333333333333333
20,3,1.028803903645833,0.7680555555555556,0.36178964714990786,7.0,1.028803903645833,0.7625377073906486,0.3724841724356713,6.0
21,3,0.9863062786458333,0.7598039215686274,0.37786600232513695,6.333333333333333,0.9863062786458333,0.7598039215686274,0.3724841724356713,6.0
22,3,0.976778489583333,0.7892623716153128,0.4011942666486987,5.666666666666667,0.976778489583333,0.7598039215686274,0.37786600232513695,6.0
23,3,0.9493086796874999,0.6605392156862745,0.32922475331656414,6.0,0.9493086796874999,0.6865196078431373,0.4011942666486987,5.666666666666667
24,3,0.9448821380208333,0.6865196078431373,0.41728994304405176,5.333333333333333,0.9448821380208333,0.6805555555555555,0.40712902905867626,5.333333333333333
25,3,0.9310704479166665,0.607843137254902,0.43597106496997934,4.666666666666667,0.9310704479166665,0.6805555555555555,0.40712902905867626,5.333333333333333
26,3,0.8950203151041665,0.6805555555555555,0.40712902905867626,5.0,0.8950203151041665,0.6821895424836603,0.41728994304405176,5.333333333333333
27,3,0.8516612838541665,0.7328431372549019,0.38406117249167576,6.333333333333333,0.8516612838541665,0.6805555555555555,0.40977197257374587,5.0
28,3,0.8316986067708331,0.6821895424836603,0.4199737277120697,5.333333333333333,0.8316986067708331,0.6821895424836603,0.40977197257374587,5.333333333333333
29,3,0.8203988333333333,0.6718020541549953,0.40977197257374587,5.0,0.8203988333333333,0.6862745098039215,0.41934344464920276,5.333333333333333
30,3,0.8001455052083332,0.7299019607843137,0.41934344464920276,5.333333333333333,0.8001455052083332,0.6862745098039215,0.41934344464920276,5.333333333333333
31,3,0.7890374531249998,0.6862745098039215,0.46915134578758755,5.333333333333333,0.7890374531249998,0.6862745098039215,0.41934344464920276,5.333333333333333
32,3,0.7473610078124998,0.7258986928104575,0.37281286204201497,6.0,0.7473610078124998,0.6862745098039215,0.41934344464920276,5.333333333333333
33,3,0.7338647239583332,0.5716440422322776,0.4199565464378224,4.666666666666667,0.7338647239583332,0.6862745098039215,0.4199565464378224,5.333333333333333
34,3,0.6717888072916667,0.6091503267973857,0.4095821623334113,5.333333333333333,0.6717888072916667,0.6663165266106442,0.4199565464378224,5.333333333333333
35,3,0.6373831015624999,0.7669117647058824,0.42367627922231205,5.666666666666667,0.6373831015624999,0.6392973856209151,0.42367627922231205,5.0
36,3,0.5957041588541664,0.6663165266106442,0.46930062945986,4.333333333333333,0.5957041588541664,0.6392973856209151,0.43313685907137917,5.0
37,3,0.5263850651041665,0.6392973856209151,0.4706343274868107,5.0,0.5263850651041665,0.6392973856209151,0.4468060679039534,5.0
38,3,0.5029127057291666,0.5772058823529412,0.43313685907137917,5.0,0.5029127057291666,0.6031862745098039,0.46930062945986,5.0
39,3,0.4953108359375,0.6031862745098039,0.4468060679039534,5.0,0.4953108359375,0.6031862745098039,0.4468060679039534,5.0
40,3,0.4836781848958332,0.5013071895424837,0.5525143212175291,3.6666666666666665,0.4836781848958332,0.5772058823529412,0.4468060679039534,5.0
41,3,0.42156036458333307,0.6108597285067874,0.3796557482262391,5.333333333333333,0.42156036458333307,0.5714285714285715,0.5155288548055509,4.0
42,3,0.4047659010416666,0.5714285714285715,0.5155288548055509,4.0,0.4047659010416666,0.5087145969498911,0.5155288548055509,4.0
43,3,0.3550096276041665,0.5087145969498911,0.5635134576334399,3.6666666666666665,0.3550096276041665,0.5541666666666667,0.5155288548055509,4.0
44,3,0.31042541406249985,0.5,0.47539979026508034,4.333333333333333,0.31042541406249985,0.5251167133520075,0.5273285343370445,4.0
45,3,0.2816153020833333,0.5541666666666667,0.5772137551123826,4.0,0.2816153020833333,0.511029411764706,0.5536146318600922,4.0
46,3,0.2543830156249998,0.5251167133520075,0.5273285343370445,4.0,0.2543830156249998,0.511029411764706,0.5536146318600922,4.0
47,3,0.23090248177083342,0.511029411764706,0.5536146318600922,3.6666666666666665,0.23090248177083342,0.511029411764706,0.5536146318600922,4.0
48,3,0.20416041406249993,0.46187363834422657,0.5605714740639579,4.333333333333333,0.20416041406249993,0.46187363834422657,0.5407076309562533,4.0
49,3,0.19467057291666656,0.44126984126984126,0.5349658802190875,3.6666666666666665,0.19467057291666656,0.46187363834422657,0.5536146318600922,4.0
50,3,0.1738351796874998,0.46078431372549017,0.5407076309562533,4.0,0.1738351796874998,0.46187363834422657,0.5407076309562533,4.333333333333333
51,3,0.12602613541666643,0.5130090497737557,0.5954060289670716,4.333333333333333,0.12602613541666643,0.46078431372549017,0.5407076309562533,4.0
52,3,0.10429038802083325,0.5348389355742297,0.48588832507849683,4.666666666666667,0.10429038802083325,0.5130090497737557,0.5407076309562533,4.333333333333333
53,3,0.09840520833333337,0.4539969834087481,0.5408196669757775,4.0,0.09840520833333337,0.5130090497737557,0.5408196669757775,4.333333333333333
54,3,0.08029698177083315,0.5686274509803922,0.5185683886359719,4.333333333333333,0.08029698177083315,0.4539969834087481,0.5408196669757775,4.0
55,3,0.055837575520833405,0.4369343891402715,0.5756843404833746,3.6666666666666665,0.055837575520833405,0.4401260504201681,0.5756843404833746,3.6666666666666665
56,3,0.03880276041666656,0.4401260504201681,0.6498414743563732,3.3333333333333335,0.03880276041666656,0.4401260504201681,0.5944536829841619,3.3333333333333335
57,3,0.020070510416666704,0.38888888888888884,0.638029159193334,3.0,0.020070510416666704,0.4369343891402715,0.5944536829841619,3.3333333333333335
58,3,0.011361109374999937,0.45530417295123177,0.5944536829841619,3.3333333333333335,0.011361109374999937,0.38888888888888884,0.5944536829841619,3.3333333333333335
59,3,-0.00826233854166671,0.30392156862745096,0.5278612106983095,3.5,-0.00826233854166671,0.30392156862745096,0.5455086493645404,3.5
60,3,-0.018146135416666858,0.2759103641456582,0.5300057896706487,3.5,-0.018146135416666858,0.28308823529411764,0.5455086493645404,3.5
61,3,-0.03588621614583346,0.28308823529411764,0.5455086493645404,4.0,-0.03588621614583346,0.2759103641456582,0.5300057896706487,3.5
62,3,-0.04363427864583356,0.23249299719887953,0.6628635038050475,3.0,-0.04363427864583356,0.2622549019607843,0.5455086493645404,3.5
63,3,-0.0628101953125001,0.2622549019607843,0.4726867085132631,4.0,-0.0628101953125001,0.23249299719887953,0.6491075040355181,3.0
64,3,-0.06708579687500003,0.22875816993464052,0.6640442535290842,3.0,-0.06708579687500003,0.23249299719887953,0.6491075040355181,3.0
65,3,-0.0757118776041668,0.22916666666666666,0.6491075040355181,3.0,-0.0757118776041668,0.2622549019607843,0.6491075040355181,3.0
66,3,-0.09100454166666681,0.37197712418300655,0.6295533153995786,3.0,-0.09100454166666681,0.22916666666666666,0.6565758787823012,3.0
67,3,-0.09962723958333351,0.2648809523809524,0.6650339460734315,3.5,-0.09962723958333351,0.2648809523809524,0.6570707250544747,3.0
68,3,-0.102782703125,0.0,,,-0.102782703125,0.2648809523809524,0.6659720293041601,3.0
69,3,-0.10565733072916693,0.3300653594771242,0.7111320425092854,2.6666666666666665,-0.10565733072916693,0.2648809523809524,0.6659720293041601,3.25
70,3,-0.11493715364583344,0.1568627450980392,0.6669101125348887,3.0,-0.11493715364583344,0.20833333333333334,0.6890210775220871,2.833333333333333
71,3,-0.1170745755208334,0.27320261437908494,0.6199426726346222,3.5,-0.1170745755208334,0.20833333333333334,0.7111320425092854,2.6666666666666665
72,3,-0.13032805468749994,0.20833333333333334,0.8757892332548165,1.5,-0.13032805468749994,0.1568627450980392,0.7185243879842261,3.0
73,3,-0.1325258177083334,0.11764705882352942,0.7536201771821849,2.0,-0.1325258177083334,0.20833333333333334,0.7185243879842261,3.0
74,3,-0.1437899401041668,0.11764705882352942,0.7185243879842261,3.0,-0.1437899401041668,0.11764705882352942,0.7185243879842261,3.0
75,3,-0.1548549869791668,0.23809523809523805,0.6234621213716478,3.5,-0.1548549869791668,0.11764705882352942,0.7185243879842261,3.0
76,3,-0.1617528541666667,0.0784313725490196,0.7061486397929208,3.0,-0.1617528541666667,0.11904761904761905,0.7061486397929208,3.0
77,3,-0.170889078125,0.11904761904761905,0.7726167085838597,2.0,-0.170889078125,0.21726190476190477,0.7061486397929208,3.0
78,3,-0.17663621093750007,0.21726190476190477,0.6899811193332975,3.5,-0.17663621093750007,0.18014705882352944,0.7726167085838597,2.5
79,3,-0.1932951770833334,0.22698412698412698,0.8409621991022791,2.0,-0.1932951770833334,0.18014705882352944,0.8409621991022791,2.0
80,3,-0.20297937239583344,0.18014705882352944,0.843143232679495,2.5,-0.20297937239583344,0.18014705882352944,0.8409621991022791,2.5
81,3,-0.20851012760416668,0.08888888888888889,0.8718852293517734,2.0,-0.20851012760416668,0.11764705882352942,0.8409621991022791,2.5
82,3,-0.23518451822916664,0.11764705882352942,0.6201867677303827,3.0,-0.23518451822916664,0.1111111111111111,0.7947124472470315,2.75
83,3,-0.2426789062499999,0.1111111111111111,0.746281661814568,3.0,-0.2426789062499999,0.08888888888888889,0.7220707373116202,3.0
84,3,-0.2501091354166667,0.0,,,-0.2501091354166667,0.1111111111111111,0.6889363590867414,3.0
85,3,-0.2556905729166667,0.07142857142857142,0.6978598128086725,3.0,-0.2556905729166667,0.1111111111111111,0.7104139163603721,2.75
86,3,-0.2640185651041668,0.220211161387632,0.6800129053648105,2.5,-0.2640185651041668,0.0909090909090909,0.7104139163603721,2.5
87,3,-0.27769827864583346,0.1736694677871148,0.7229680199120717,2.5,-0.27769827864583346,0.16470588235294117,0.7229680199120717,2.5
88,3,-0.2810522890625,0.0909090909090909,0.996806899563306,2.0,-0.2810522890625,0.16470588235294117,0.7985571704863152,2.25
89,3,-0.3026825078125,0.16470588235294117,0.8741463210605589,2.0,-0.3026825078125,0.16470588235294117,0.8157800115454501,2.0
90,3,-0.31018841927083335,0.0,,,-0.31018841927083335,0.0909090909090909,0.8276626206734061,2.0
91,3,-0.31476306770833334,0.203921568627451,0.7574137020303413,2.0,-0.31476306770833334,0.16470588235294117,0.8276626206734061,2.0
92,3,-0.3200391822916667,0.05882352941176471,0.7811789202862532,2.0,-0.3200391822916667,0.1450980392156863,0.8552943621902197,2.0
93,3,-0.32802200260416686,0.21708683473389356,0.9294098040941862,2.0,-0.32802200260416686,0.203921568627451,0.877467353313552,2.0
94,3,-0.33536061458333344,0.1450980392156863,0.9419395389662477,2.0,-0.33536061458333344,0.1450980392156863,0.877467353313552,2.0
95,3,-0.33924903385416694,0.2622549019607843,0.877467353313552,2.0,-0.3373048242187502,0.18109243697478994,0.903438578703869,2.0
96,3,-0.3494455,0.110105580693816,0.8706083641763258,2.5,-0.33924903385416694,0.1450980392156863,0.877467353313552,2.0
