pos_rank,seasons,mean_worp,median_worp,sd_worp
1,3,2.9438579739583326,2.871667953125,0.13617949656744302
2,3,2.5751849348958333,2.6303236171874995,0.48183919732399433
3,3,2.16477325,2.0556152109375,0.251222788034271
4,3,1.9284397161458333,2.026688171875,0.19631058703854704
5,3,1.8365568203124998,1.7971287109374998,0.16170272651222817
6,3,1.6308834791666669,1.5935591484375,0.14117609060236264
7,3,1.5397017213541666,1.5729001875000002,0.19377644017539183
8,3,1.5096588255208332,1.5659964609375,0.2145978068491135
9,3,1.4339880911458331,1.4263982734374998,0.20904701740697576
10,3,1.4005305677083333,1.4080619062500004,0.20615759188303484
11,3,1.3560906874999994,1.3696470625,0.23686735982066073
12,3,1.3074271770833334,1.3424384140625,0.23020890514645254
13,3,1.3007274661458335,1.3262423281250002,0.22967242312332276
14,3,1.2725239739583332,1.32428928125,0.23919566783596297
15,3,1.2606134895833332,1.3192222578125,0.25295076068820943
16,3,1.1742134869791665,1.2282342109375,0.22438197229566492
17,3,1.1597196510416665,1.2231406171875,0.21043923372643072
18,3,1.0713786510416667,1.1084773984375,0.1742654390980712
19,3,1.0615278177083332,1.1027855937499995,0.17747064739475515
20,3,1.028803903645833,1.1000795234374996,0.17327682127771554
21,3,0.9863062786458333,1.0113291171875,0.15432812409710997
22,3,0.976778489583333,0.9955574218749996,0.15353629922047382
23,3,0.9493086796874999,0.9920408125000002,0.15962191104813828
24,3,0.9448821380208333,0.981895140625,0.15757191721892644
25,3,0.9310704479166665,0.9812860000000002,0.1673013526110635
26,3,0.8950203151041665,0.9550412812499998,0.1578916625899876
27,3,0.8516612838541665,0.9094578828124998,0.18661582039677851
28,3,0.8316986067708331,0.8843126874999998,0.18288721183288636
29,3,0.8203988333333333,0.8758804218749998,0.19287165242504417
30,3,0.8001455052083332,0.8420178437499998,0.17907450240461606
31,3,0.7890374531249998,0.8220016796874998,0.18077115515938255
32,3,0.7473610078124998,0.80154621875,0.1711873151479467
33,3,0.7338647239583332,0.7784686953124997,0.16574776954082454
34,3,0.6717888072916667,0.7314032031250002,0.1574924703516387
35,3,0.6373831015624999,0.7164955390624999,0.14843280084446547
36,3,0.5957041588541664,0.6768791093749998,0.14350928173464647
37,3,0.5263850651041665,0.5559765390624998,0.09995956073412755
38,3,0.5029127057291665,0.5486433359374998,0.12009338254652675
39,3,0.4953108359375,0.5375018125,0.11463881856511227
40,3,0.4836781848958332,0.5304889374999999,0.11843132482009397
41,3,0.42156036458333307,0.4490602656249996,0.0944151993467849
42,3,0.4047659010416666,0.4326889374999997,0.09698973042007128
43,3,0.3550096276041665,0.3709779374999996,0.09513786036537558
44,3,0.31042541406249985,0.3241350859374999,0.08878098881056908
