format_key,scoring_total,families_observed,best_family_mean_regret,surface_median_mean_regret,surface_p75_mean_regret,surface_p90_mean_regret,families_joint_eq_025,QB_low_025,QB_high_025,RB_low_025,RB_high_025,WR_low_025,WR_high_025,TE_low_025,TE_high_025,families_joint_eq_050,QB_low_050,QB_high_050,RB_low_050,RB_high_050,WR_low_050,WR_high_050,TE_low_050,TE_high_050,families_joint_eq_100,QB_low_100,QB_high_100,RB_low_100,RB_high_100,WR_low_100,WR_high_100,TE_low_100,TE_high_100,families_joint_eq_150,QB_low_150,QB_high_150,RB_low_150,RB_high_150,WR_low_150,WR_high_150,TE_low_150,TE_high_150,range_stable_050_to_100,status
12T|SF|Start11|QB1|RB1|WR2|TE1|FLEX5|SFLEX1|TEP,16,98,0.0011708716279069,0.09090019406757349,0.13509024231727698,0.18480699584537078,6,2,3,4,5,5,7,2,3,6,2,3,4,5,5,7,2,3,6,2,3,4,5,5,7,2,3,6,2,3,4,5,5,7,2,3,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start11|QB1|RB2|WR2|TE1|FLEX4|SFLEX1|TEP,15,114,0.0018095635017883,0.0984500909009496,0.14901458738515816,0.20578560445574678,6,2,3,3,5,5,6,2,4,6,2,3,3,5,5,6,2,4,6,2,3,3,5,5,6,2,4,6,2,3,3,5,5,6,2,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start11|QB1|RB2|WR2|TE1|FLEX4|SFLEX1|TEP,16,167,0.0007828756752225,0.1147495744600939,0.15897665577904896,0.22193557752756035,10,2,4,4,5,5,7,2,4,10,2,4,4,5,5,7,2,4,10,2,4,4,5,5,7,2,4,10,2,4,4,5,5,7,2,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start11|QB1|RB2|WR2|TE2|FLEX3|SFLEX1|TEP,15,84,0.0023810339261164,0.09419082706166071,0.15619614465674522,0.19263840788384537,9,2,3,3,5,4,6,2,4,10,2,3,3,5,4,7,2,4,10,2,3,3,5,4,7,2,4,10,2,3,3,5,4,7,2,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start11|QB1|RB2|WR2|TE2|FLEX3|SFLEX1|TEP,16,128,0.0010595446726959,0.10897918537940675,0.1683368423955498,0.21279526379726169,11,2,4,3,5,4,7,3,4,11,2,4,3,5,4,7,3,4,11,2,4,3,5,4,7,3,4,11,2,4,3,5,4,7,3,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start11|QB1|RB2|WR3|TE1|FLEX3|SFLEX1|TEP,15,122,0.0035996403384199,0.10755592949563886,0.16057922231423713,0.20778889765795797,9,2,3,3,5,5,7,2,4,9,2,3,3,5,5,7,2,4,9,2,3,3,5,5,7,2,4,9,2,3,3,5,5,7,2,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start11|QB1|RB2|WR3|TE1|FLEX3|SFLEX1|TEP,16,173,0.0007390213518678,0.1181708611380152,0.1594222692682019,0.22587803058438133,9,2,3,3,5,5,7,2,4,9,2,3,3,5,5,7,2,4,9,2,3,3,5,5,7,2,4,9,2,3,3,5,5,7,2,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start11|QB1|RB2|WR3|TE2|FLEX2|SFLEX1|TEP,15,90,0.0027289040019614,0.08894190870370355,0.13480284659698258,0.18118977192308933,8,2,3,3,5,5,7,3,4,8,2,3,3,5,5,7,3,4,8,2,3,3,5,5,7,3,4,8,2,3,3,5,5,7,3,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start11|QB1|RB2|WR3|TE2|FLEX2|SFLEX1|TEP,16,132,0.0015498257061542,0.10398386234494644,0.14184822274552225,0.19889084414894767,11,2,4,3,5,5,7,3,4,11,2,4,3,5,5,7,3,4,11,2,4,3,5,5,7,3,4,11,2,4,3,5,5,7,3,4,True,BROAD_EQUIVALENCE_PLATEAU
12T|SF|Start11|QB1|RB3|WR3|TE1|FLEX2|SFLEX1|TEP,15,62,0.0011526321495327,0.06370711739708755,0.10827411745135107,0.15683581736474675,5,2,3,4,5,5,6,2,3,5,2,3,4,5,5,6,2,3,5,2,3,4,5,5,6,2,3,5,2,3,4,5,5,6,2,3,True,BROAD_EQUIVALENCE_PLATEAU
