league_id,season,stratum,bench,capacity,lookback,test_week,QB,RB,WR,TE,status,capture,test_regret,signed_capture,gain_vs_old_choice
920523240571850752,2023,1QB,5,14,3,8,2.0,3.0,5.0,4.0,evaluated,1.9756200405208322,0.07495177791666656,2.041010192604165,-0.06539015208333288
920523240571850752,2023,1QB,5,14,3,12,2.0,3.0,6.0,3.0,evaluated,1.8528508193749997,0.07410702562499982,1.852850819375,-2.220446049250313e-16
920523240571850752,2023,1QB,5,14,5,8,2.0,3.0,6.0,3.0,evaluated,1.9579615676041655,0.005428057499999787,1.9579615676041653,2.220446049250313e-16
920523240571850752,2023,1QB,5,14,5,12,2.0,3.0,6.0,3.0,evaluated,1.8218131391666663,0.06356603135416661,1.8218131391666663,0.0
920523240571850752,2023,1QB,12,21,3,12,3.0,8.0,6.0,4.0,evaluated,1.9360054694791664,0.029925629270833348,1.909944173645833,0.026061295833333498
920523240571850752,2023,1QB,12,21,5,12,3.0,5.0,9.0,4.0,evaluated,1.8459631874999995,0.05068359843750011,1.860354117708333,-0.014390930208333375
969999751733186560,2023,1QB,5,15,3,8,2.0,3.0,6.0,4.0,evaluated,2.280305713020833,0.023752644687499973,2.188534622708333,0.09177109031249975
969999751733186560,2023,1QB,5,15,3,12,3.0,3.0,6.0,3.0,evaluated,2.0496313374999993,0.08744420208333326,2.095395828541666,-0.04576449104166658
969999751733186560,2023,1QB,5,15,5,8,3.0,3.0,6.0,3.0,evaluated,2.2731787456249997,0.0,2.164476559895833,0.10870218572916679
969999751733186560,2023,1QB,5,15,5,12,3.0,3.0,6.0,3.0,evaluated,2.0426938857291663,0.10491275656249972,2.10697271125,-0.06427882552083375
969999751733186560,2023,1QB,12,22,3,8,3.0,9.0,6.0,4.0,evaluated,2.2656403534374996,0.021839904374999868,2.2478500615624992,0.017790291875000364
969999751733186560,2023,1QB,12,22,3,12,3.0,9.0,7.0,3.0,evaluated,2.179757186145833,0.03224474208333324,2.139290828854166,0.04046635729166681
969999751733186560,2023,1QB,12,22,5,8,3.0,9.0,6.0,4.0,evaluated,2.2396846509374995,0.01645331354166653,2.232401511770833,0.007283139166666341
969999751733186560,2023,1QB,12,22,5,12,3.0,9.0,7.0,3.0,evaluated,2.1682118492708327,0.019145377708333317,2.143282986354166,0.024928862916666628
1048204852251164672,2024,1QB,5,15,3,8,2.0,5.0,4.0,4.0,evaluated,1.9580597703125002,0.14181673166666667,2.099876501979167,-0.14181673166666697
