league_id,season,stratum,bench,capacity,lookback,test_week,QB,RB,WR,TE,status,capture,test_regret
1180224010881282048,2025,1QB,12,21,5,8,,,,,no_training_support,,
1180224010881282048,2025,1QB,12,21,5,12,,,,,no_training_support,,
918960870980501504,2023,SF_1TE,5,15,3,8,3.0,3.0,6.0,3.0,evaluated,2.081212392708333,0.0
918960870980501504,2023,SF_1TE,5,15,3,12,3.0,3.0,6.0,3.0,evaluated,2.2243715114583336,0.02349158864583334
918960870980501504,2023,SF_1TE,5,15,5,8,4.0,4.0,6.0,1.0,evaluated,1.7964916105208328,0.1993946882291667
918960870980501504,2023,SF_1TE,5,15,5,12,3.0,3.0,6.0,3.0,evaluated,2.1728775441666666,0.009367842604166713
918960870980501504,2023,SF_1TE,12,22,3,8,4.0,4.0,10.0,4.0,chosen_unavailable,,
918960870980501504,2023,SF_1TE,12,22,3,12,4.0,5.0,10.0,3.0,evaluated,2.2492062292708335,0.07550336083333316
918960870980501504,2023,SF_1TE,12,22,5,8,3.0,5.0,10.0,4.0,chosen_unavailable,,
918960870980501504,2023,SF_1TE,12,22,5,12,4.0,8.0,7.0,3.0,evaluated,2.1792975931250003,0.015695501666666445
914741498980225024,2023,SF_1TE,5,16,3,8,4.0,3.0,5.0,4.0,evaluated,2.8128137623958334,0.09358517885416662
914741498980225024,2023,SF_1TE,5,16,3,12,3.0,3.0,6.0,4.0,evaluated,2.698043511666667,0.08383901333333332
914741498980225024,2023,SF_1TE,5,16,5,8,3.0,3.0,6.0,4.0,evaluated,2.880132336145833,0.006703031145833371
914741498980225024,2023,SF_1TE,5,16,5,12,3.0,3.0,6.0,4.0,evaluated,2.696923967291667,0.08125688947916654
914741498980225024,2023,SF_1TE,12,23,3,8,4.0,10.0,5.0,4.0,evaluated,2.7936301961458327,0.0892911699999998
914741498980225024,2023,SF_1TE,12,23,3,12,3.0,10.0,6.0,4.0,chosen_unavailable,,
914741498980225024,2023,SF_1TE,12,23,5,8,3.0,10.0,6.0,4.0,evaluated,2.860404633333333,0.006015648333333494
914741498980225024,2023,SF_1TE,12,23,5,12,3.0,10.0,6.0,4.0,chosen_unavailable,,
1055621034914820096,2024,SF_1TE,5,15,3,8,3.0,2.0,6.0,4.0,evaluated,1.4496074566666663,0.34057526968749996
1055621034914820096,2024,SF_1TE,5,15,3,12,3.0,4.0,5.0,3.0,evaluated,2.0589340037499997,0.05704649218750024
1055621034914820096,2024,SF_1TE,5,15,5,8,3.0,6.0,4.0,2.0,evaluated,1.6164694512499995,0.12028933729166653
1055621034914820096,2024,SF_1TE,5,15,5,12,3.0,5.0,5.0,2.0,evaluated,2.0873499201041663,0.07131608333333335
1055621034914820096,2024,SF_1TE,12,22,3,8,3.0,7.0,7.0,5.0,evaluated,1.8172684258333327,0.06410455010416667
1055621034914820096,2024,SF_1TE,12,22,3,12,3.0,6.0,9.0,4.0,evaluated,2.0818578721874994,0.044577201354166984
1055621034914820096,2024,SF_1TE,12,22,5,8,3.0,8.0,7.0,4.0,evaluated,1.7243730068749994,0.018044163333333325
1055621034914820096,2024,SF_1TE,12,22,5,12,5.0,6.0,7.0,4.0,evaluated,2.1786895199999994,0.02117179156249997
1045730844721270784,2024,SF_1TE,5,16,3,8,3.0,6.0,4.0,3.0,evaluated,2.8518864642708324,0.1753246588541666
1045730844721270784,2024,SF_1TE,5,16,3,12,3.0,4.0,6.0,3.0,evaluated,3.3805677884374994,0.01856659406249994
1045730844721270784,2024,SF_1TE,5,16,5,8,3.0,6.0,3.0,4.0,evaluated,2.787072019791666,0.24156706531250016
1045730844721270784,2024,SF_1TE,5,16,5,12,3.0,4.0,6.0,3.0,evaluated,3.4637952103124996,0.011208801354166464
1045730844721270784,2024,SF_1TE,12,23,3,8,3.0,7.0,8.0,5.0,evaluated,3.0591073612499997,0.03737079989583295
1045730844721270784,2024,SF_1TE,12,23,3,12,6.0,6.0,8.0,3.0,evaluated,3.4011087844791668,0.020009262916666753
1045730844721270784,2024,SF_1TE,12,23,5,8,3.0,8.0,8.0,4.0,evaluated,2.989205643749999,0.04851620468750036
1045730844721270784,2024,SF_1TE,12,23,5,12,4.0,5.0,11.0,3.0,evaluated,3.4755579381249997,0.002662805520833237
1201959553390891008,2025,SF_1TE,5,15,3,8,3.0,3.0,4.0,5.0,evaluated,1.515911984270833,0.06952818374999992
1201959553390891008,2025,SF_1TE,5,15,3,12,3.0,3.0,4.0,5.0,evaluated,1.7732197730208332,0.12863378916666668
1201959553390891008,2025,SF_1TE,5,15,5,8,3.0,4.0,4.0,4.0,evaluated,1.4446860854166665,0.14260057427083317
1201959553390891008,2025,SF_1TE,5,15,5,12,5.0,3.0,3.0,4.0,evaluated,1.8216487134375,0.08704134416666658
1201959553390891008,2025,SF_1TE,12,22,3,8,5.0,8.0,4.0,5.0,evaluated,1.5457803284375,0.037174939791666674
1201959553390891008,2025,SF_1TE,12,22,3,12,4.0,9.0,4.0,5.0,evaluated,1.6581511365625,0.18792450458333324
1201959553390891008,2025,SF_1TE,12,22,5,8,5.0,6.0,7.0,4.0,evaluated,1.4290811383333335,0.1142160688541664
1201959553390891008,2025,SF_1TE,12,22,5,12,5.0,8.0,4.0,5.0,evaluated,1.7950254026041665,0.08090558864583319
1180084795436826624,2025,SF_1TE,5,15,3,8,3.0,5.0,4.0,3.0,evaluated,2.048577415208334,0.05017146385416652
1180084795436826624,2025,SF_1TE,5,15,3,12,3.0,5.0,5.0,2.0,evaluated,2.320407243333333,0.07670333989583329
1180084795436826624,2025,SF_1TE,5,15,5,8,3.0,5.0,4.0,3.0,evaluated,2.0407883811458336,0.07350368791666699
1180084795436826624,2025,SF_1TE,5,15,5,12,3.0,6.0,4.0,2.0,evaluated,2.3546463732291665,0.14287035999999986
