league_id,season,stratum,bench,capacity,test_week,seed,lookback,signed_capture,positive_capture,negative_capture,oracle_positive
1045730844721270784,2024,SF_1TE,5,16,8,7000,3,3.0694578340624994,4.020736774687499,-0.9512789406249994,4.708059778124998
1045730844721270784,2024,SF_1TE,5,16,8,7000,5,3.0765220046875,4.0393436121874995,-0.9628216074999993,4.708059778124998
1045730844721270784,2024,SF_1TE,12,23,8,7000,3,3.1174685296874998,4.063620891874999,-0.9461523621874994,5.111246468437498
1045730844721270784,2024,SF_1TE,12,23,8,7000,5,3.111706759374999,4.070142220312499,-0.9584354609374994,5.111246468437498
1045730844721270784,2024,SF_1TE,5,16,8,17000,3,2.9188801531249995,3.895367920937499,-0.9764877678124994,4.553975208749998
1045730844721270784,2024,SF_1TE,5,16,8,17000,5,2.894213420312499,3.898625681562499,-1.0044122612499993,4.553975208749998
1045730844721270784,2024,SF_1TE,12,23,8,17000,3,2.9889727240624993,3.955489761249999,-0.9665170371874993,4.966883543437499
1045730844721270784,2024,SF_1TE,12,23,8,17000,5,2.9335966724999993,3.9348761931249987,-1.0012795206249994,4.966883543437499
1045730844721270784,2024,SF_1TE,5,16,8,27000,3,2.9520822974999996,3.948175430937499,-0.9960931334374993,4.624144390312498
1045730844721270784,2024,SF_1TE,5,16,8,27000,5,2.9171332509375,3.9397251428124993,-1.0225918918749992,4.624144390312498
1045730844721270784,2024,SF_1TE,12,23,8,27000,3,3.0442216306249996,4.022705832812498,-0.9784842021874994,5.106872222187499
1045730844721270784,2024,SF_1TE,12,23,8,27000,5,2.986791570312499,4.003642727499999,-1.0168511571874992,5.106872222187499
1045730844721270784,2024,SF_1TE,5,16,12,7000,3,3.43911894625,4.190448640937499,-0.7513296946874992,4.872091815937499
1045730844721270784,2024,SF_1TE,5,16,12,7000,5,3.5290996496875,4.261981633124999,-0.7328819834374993,4.872091815937499
1045730844721270784,2024,SF_1TE,12,23,12,7000,3,3.4705676103125,4.2068518699999995,-0.7362842596874992,5.210708610312498
1045730844721270784,2024,SF_1TE,12,23,12,7000,5,3.5256382424999995,4.256937530937499,-0.7312992884374994,5.210708610312498
1045730844721270784,2024,SF_1TE,5,16,12,17000,3,3.3582771365624997,4.098510538124999,-0.7402334015624993,4.78496939125
1045730844721270784,2024,SF_1TE,5,16,12,17000,5,3.4357512384374997,4.177685914687499,-0.7419346762499994,4.78496939125
1045730844721270784,2024,SF_1TE,12,23,12,17000,3,3.3738099528124996,4.105695066562499,-0.7318851137499993,5.093041445624999
1045730844721270784,2024,SF_1TE,12,23,12,17000,5,3.4304523596874996,4.168701432499999,-0.7382490728124993,5.093041445624999
1045730844721270784,2024,SF_1TE,5,16,12,27000,3,3.3729458340624996,4.104325668124999,-0.7313798340624993,4.758199761562499
1045730844721270784,2024,SF_1TE,5,16,12,27000,5,3.4530866956249997,4.178598761249999,-0.7255120656249994,4.758199761562499
1045730844721270784,2024,SF_1TE,12,23,12,27000,3,3.3741072543749997,4.101475197499999,-0.7273679431249993,5.067754353749999
1045730844721270784,2024,SF_1TE,12,23,12,27000,5,3.4480121171874996,4.1718865584375,-0.7238744412499993,5.067754353749999
1048204852251164672,2024,1QB,5,15,8,7000,3,2.1307670978125,3.1265066912499995,-0.9957395934374991,3.787383387812499
1048204852251164672,2024,1QB,5,15,8,7000,5,2.0859049575000004,3.1214544449999995,-1.035549487499999,3.787383387812499
1048204852251164672,2024,1QB,12,22,8,7000,3,2.131920786875,3.1168826687499993,-0.984961881874999,4.129769789999999
1048204852251164672,2024,1QB,12,22,8,7000,5,2.0826627003125004,3.106789851562499,-1.0241271512499992,4.129769789999999
1048204852251164672,2024,1QB,5,15,8,17000,3,2.1176516840625004,3.1107027718749993,-0.9930510878124991,3.767390911562499
1048204852251164672,2024,1QB,5,15,8,17000,5,2.091271774375,3.1133389003124994,-1.022067125937499,3.767390911562499
1048204852251164672,2024,1QB,12,22,8,17000,3,2.0950330284375003,3.087955120937499,-0.9929220924999989,4.101091928749999
1048204852251164672,2024,1QB,12,22,8,17000,5,2.0714835709375006,3.0912206878124993,-1.019737116874999,4.101091928749999
1048204852251164672,2024,1QB,5,15,8,27000,3,2.0512107240625004,3.0528791024999995,-1.0016683784374991,3.706019348437499
1048204852251164672,2024,1QB,5,15,8,27000,5,1.9930705215625002,3.042500880624999,-1.049430359062499,3.706019348437499
1048204852251164672,2024,1QB,12,22,8,27000,3,2.0610604965625,3.0457344006249993,-0.984673904062499,4.050979432812499
1048204852251164672,2024,1QB,12,22,8,27000,5,2.0084231762500004,3.0420442815624993,-1.033621105312499,4.050979432812499
1048204852251164672,2024,1QB,5,15,12,7000,3,2.3685914178124996,3.160596089374999,-0.7920046715624994,3.6827770337499985
1048204852251164672,2024,1QB,5,15,12,7000,5,2.3676639140624993,3.1750878474999986,-0.8074239334374994,3.6827770337499985
1048204852251164672,2024,1QB,12,22,12,7000,3,2.3057880999999996,3.103334546874999,-0.7975464468749994,4.128365770312498
1048204852251164672,2024,1QB,12,22,12,7000,5,2.3679053631249998,3.1753405599999986,-0.8074351968749993,4.128365770312498
1048204852251164672,2024,1QB,5,15,12,17000,3,2.3424216165624996,3.1390996184374984,-0.7966780018749994,3.6849665859374987
1048204852251164672,2024,1QB,5,15,12,17000,5,2.3562658662499993,3.159605707499999,-0.8033398412499994,3.6849665859374987
1048204852251164672,2024,1QB,12,22,12,17000,3,2.2849513324999995,3.0767805640624983,-0.7918292315624993,4.133618295312498
1048204852251164672,2024,1QB,12,22,12,17000,5,2.3447929559374994,3.145919747187499,-0.8011267912499993,4.133618295312498
1048204852251164672,2024,1QB,5,15,12,27000,3,2.3697000721874995,3.158820002499999,-0.7891199303124994,3.6829582465624986
1048204852251164672,2024,1QB,5,15,12,27000,5,2.3892366109374996,3.186670067187499,-0.7974334562499994,3.6829582465624986
1048204852251164672,2024,1QB,12,22,12,27000,3,2.282103277499999,3.0880375940624987,-0.8059343165624994,4.112159897499998
1048204852251164672,2024,1QB,12,22,12,27000,5,2.3860813437499995,3.1860451896874986,-0.7999638459374994,4.112159897499998
1048274355802820608,2024,SF_2TE,5,17,8,7000,3,3.2266099593749993,4.038439613749999,-0.8118296543749994,4.646093354062498
1048274355802820608,2024,SF_2TE,5,17,8,7000,5,3.2490417487499994,4.073475681249999,-0.8244339324999994,4.646093354062498
1048274355802820608,2024,SF_2TE,12,24,8,7000,3,3.288497714999999,4.088018444374999,-0.7995207293749994,5.046265662499998
1048274355802820608,2024,SF_2TE,12,24,8,7000,5,3.287751935937499,4.110712839062499,-0.8229609031249994,5.046265662499998
1048274355802820608,2024,SF_2TE,5,17,8,17000,3,3.191637345937499,4.020865189374998,-0.8292278434374993,4.666455151249998
1048274355802820608,2024,SF_2TE,5,17,8,17000,5,3.2239259062499994,4.074371335937499,-0.8504454296874993,4.666455151249998
1048274355802820608,2024,SF_2TE,12,24,8,17000,3,3.2755612443749995,4.087072760937499,-0.8115115165624993,5.095462908124999
1048274355802820608,2024,SF_2TE,12,24,8,17000,5,3.2556176899999993,4.104191969999999,-0.8485742799999993,5.095462908124999
1048274355802820608,2024,SF_2TE,5,17,8,27000,3,3.1817466306249993,4.001007035937499,-0.8192604053124993,4.649351897812498
1048274355802820608,2024,SF_2TE,5,17,8,27000,5,3.2178192128124996,4.052565972187499,-0.8347467593749993,4.649351897812498
1048274355802820608,2024,SF_2TE,12,24,8,27000,3,3.2553158646874993,4.0631225065624985,-0.8078066418749993,5.061045483124998
1048274355802820608,2024,SF_2TE,12,24,8,27000,5,3.253501821874999,4.088844539374999,-0.8353427174999992,5.061045483124998
1048274355802820608,2024,SF_2TE,5,17,12,7000,3,4.123290817187499,4.669223354374998,-0.5459325371874996,5.306802569374998
1048274355802820608,2024,SF_2TE,5,17,12,7000,5,4.135622417499999,4.690013531874999,-0.5543911143749995,5.306802569374998
1048274355802820608,2024,SF_2TE,12,24,12,7000,3,4.082842494062499,4.630031721249998,-0.5471892271874996,5.634107888437498
1048274355802820608,2024,SF_2TE,12,24,12,7000,5,4.125200250937499,4.6806728899999985,-0.5554726390624996,5.634107888437498
1048274355802820608,2024,SF_2TE,5,17,12,17000,3,3.975599318749999,4.543003132187499,-0.5674038134374993,5.174297572187498
1048274355802820608,2024,SF_2TE,5,17,12,17000,5,4.020879903437499,4.587315941874999,-0.5664360384374996,5.174297572187498
1048274355802820608,2024,SF_2TE,12,24,12,17000,3,3.965817506249999,4.524691956874998,-0.5588744506249996,5.489887846249998
1048274355802820608,2024,SF_2TE,12,24,12,17000,5,4.011094692187498,4.579304309062499,-0.5682096168749996,5.489887846249998
1048274355802820608,2024,SF_2TE,5,17,12,27000,3,4.0349476040624985,4.589852778437499,-0.5549051743749995,5.254707308124999
1048274355802820608,2024,SF_2TE,5,17,12,27000,5,4.082912094687499,4.647563899062499,-0.5646518043749995,5.254707308124999
1048274355802820608,2024,SF_2TE,12,24,12,27000,3,4.004331532812499,4.560195650624999,-0.5558641178124994,5.552099313124998
