league_id,season,stratum,test_week,lookback,delta_signed_capture,delta_positive_capture,delta_oracle_positive
1045730844721270784,2024,SF_1TE,8,3,0.07008086656250034,0.05917878645833241,0.4329409522916672
1045730844721270784,2024,SF_1TE,8,5,0.048075442083333364,0.04365556812499971,0.4329409522916672
1045730844721270784,2024,SF_1TE,12,3,0.016047633541666162,0.006912428958334438,0.3187478136458326
1045730844721270784,2024,SF_1TE,12,5,-0.0046116214583338255,-0.006913595729167277,0.3187478136458326
1048204852251164672,2024,1QB,8,3,-0.003871731354167185,-0.013172125104166543,0.34034916791666703
1048204852251164672,2024,1QB,8,5,-0.0025592686458328906,-0.012413135000000075,0.34034916791666703
1048204852251164672,2024,1QB,12,3,-0.06929013218749924,-0.0634543351041672,0.4411473656249987
1048204852251164672,2024,1QB,12,5,-0.004795576145833369,-0.004686041770833427,0.4411473656249987
1048274355802820608,2024,SF_2TE,8,3,0.07312696270833285,0.0593006242708336,0.41362455020833355
1048274355802820608,2024,SF_2TE,8,5,0.035361526666666254,0.03444545302083313,0.41362455020833355
1048274355802820608,2024,SF_2TE,12,3,-0.026948735624999998,-0.029053312083333616,0.31342919937500024
1048274355802820608,2024,SF_2TE,12,5,-0.00749121468750058,-0.006927381562499946,0.31342919937500024
1048278093472837632,2024,SF_2TE,8,3,0.05969584312499965,0.04674722968750089,0.42521170687499943
1048278093472837632,2024,SF_2TE,8,5,0.022409175312500196,0.01945204854166649,0.42521170687499943
1048278093472837632,2024,SF_2TE,12,3,-0.008969058645833083,-0.012550107083332929,0.33426599208333396
1048278093472837632,2024,SF_2TE,12,5,-0.007990579479166815,-0.007391868854166539,0.33426599208333396
1048901308398288896,2024,1QB,8,3,0.07664811114583348,0.059015002916666504,0.4924388797916657
1048901308398288896,2024,1QB,8,5,0.009332457291666874,0.016096714270832813,0.4924388797916657
1048901308398288896,2024,1QB,12,3,-0.015929949166667345,-0.02463737874999916,0.4795642259374997
1048901308398288896,2024,1QB,12,5,0.008287611770833703,-0.0010696438541670794,0.4795642259374997
1055621034914820096,2024,SF_1TE,8,3,0.23629163947916632,0.11419646802083294,0.7523566680208336
