league_id,season,stratum,bench,capacity,test_week,lookback,seed,signed_capture,positive_capture,negative_capture,oracle_positive,positive_capture_fraction
1045730844721270784,2024,SF_1TE,5,16,8,3,17000.0,2.9801400948958325,3.9547600421874995,-0.974619947291666,4.628726459062498,0.8543948485969717
1045730844721270784,2024,SF_1TE,5,16,8,5,17000.0,2.962622891979166,3.959231478854166,-0.9966085868749993,4.628726459062498,0.8553608673725923
1045730844721270784,2024,SF_1TE,5,16,12,3,17000.0,3.3901139722916667,4.131094949062499,-0.7409809767708326,4.805086989583333,0.859733644368574
1045730844721270784,2024,SF_1TE,5,16,12,5,17000.0,3.4726458612499997,4.2060887696875,-0.7334429084374993,4.805086989583333,0.8753408166814948
1045730844721270784,2024,SF_1TE,12,23,8,3,17000.0,3.050220961458333,4.0139388286458315,-0.9637178671874994,5.061667411354165,0.7930072251768057
1045730844721270784,2024,SF_1TE,12,23,8,5,17000.0,3.0106983340624995,4.002887046979166,-0.9921887129166661,5.061667411354165,0.7908237981025822
1045730844721270784,2024,SF_1TE,12,23,12,3,17000.0,3.406161605833333,4.138007378020833,-0.7318457721874992,5.123834803229165,0.8075996859643017
1045730844721270784,2024,SF_1TE,12,23,12,5,17000.0,3.4680342397916664,4.1991751739583325,-0.731140934166666,5.123834803229165,0.8195375798048583
1048204852251164672,2024,1QB,5,15,8,3,17000.0,2.099876501979167,3.096696188541666,-0.9968196865624991,3.7535978826041654,0.8249941217446672
1048204852251164672,2024,1QB,5,15,8,5,17000.0,2.0567490844791667,3.0924314086458327,-1.0356823241666657,3.7535978826041654,0.8238579372014059
1048204852251164672,2024,1QB,5,15,12,3,17000.0,2.3602377021874994,3.1528385701041657,-0.7926008679166662,3.6835672887499986,0.8559199066983969
1048204852251164672,2024,1QB,5,15,12,5,17000.0,2.3710554637499994,3.173787874062499,-0.8027324103124993,3.6835672887499986,0.8616071392955358
1048204852251164672,2024,1QB,12,22,8,3,17000.0,2.096004770625,3.0835240634374994,-0.987519292812499,4.093947050520832,0.7531909976816171
1048204852251164672,2024,1QB,12,22,8,5,17000.0,2.054189815833334,3.0800182736458326,-1.025828457812499,4.093947050520832,0.752334662768536
1048204852251164672,2024,1QB,12,22,12,3,17000.0,2.2909475699999997,3.0893842349999985,-0.7984366649999993,4.124714654374998,0.7489934441218021
1048204852251164672,2024,1QB,12,22,12,5,17000.0,2.366259887604166,3.1691018322916658,-0.8028419446874994,4.124714654374998,0.7683202591796905
1048274355802820608,2024,SF_2TE,5,17,8,3,17000.0,3.1999979786458326,4.0201039463541655,-0.8201059677083328,4.653966801041665,0.8638015951154558
1048274355802820608,2024,SF_2TE,5,17,8,5,17000.0,3.230262289270833,4.066804329791665,-0.8365420405208326,4.653966801041665,0.8738361281136388
1048274355802820608,2024,SF_2TE,5,17,12,3,17000.0,4.044612579999999,4.600693088333332,-0.5560805083333328,5.245269149895832,0.8771128719723943
1048274355802820608,2024,SF_2TE,5,17,12,5,17000.0,4.079804805208332,4.641631124270832,-0.5618263190624996,5.245269149895832,0.8849176260789233
1048274355802820608,2024,SF_2TE,12,24,8,3,17000.0,3.273124941354166,4.079404570624999,-0.8062796292708327,5.067591351249998,0.8049987238254229
1048274355802820608,2024,SF_2TE,12,24,8,5,17000.0,3.265623815937499,4.1012497828124985,-0.8356259668749993,5.067591351249998,0.8093094921319698
1048274355802820608,2024,SF_2TE,12,24,12,3,17000.0,4.017663844374999,4.571639776249999,-0.5539759318749996,5.5586983492708315,0.8224299087662652
1048274355802820608,2024,SF_2TE,12,24,12,5,17000.0,4.072313590520832,4.634703742708332,-0.5623901521874995,5.5586983492708315,0.8337750047754066
1048278093472837632,2024,SF_2TE,5,16,8,3,17000.0,2.9278093928125,3.785340623645832,-0.8575312308333326,4.476503370312499,0.8456020939802358
1048278093472837632,2024,SF_2TE,5,16,8,5,17000.0,2.8858038244791664,3.7831763976041657,-0.8973725731249993,4.476503370312499,0.8451186304680626
1048278093472837632,2024,SF_2TE,5,16,12,3,17000.0,3.3053313013541654,4.010825020312498,-0.7054937189583329,4.7178778537499975,0.8501332897214582
1048278093472837632,2024,SF_2TE,5,16,12,5,17000.0,3.3329618493749993,4.052483785729165,-0.7195219363541662,4.7178778537499975,0.8589632693665553
1048278093472837632,2024,SF_2TE,12,23,8,3,17000.0,2.9875052359375,3.8320878533333325,-0.8445826173958326,4.901715077187498,0.7817851084751553
1048278093472837632,2024,SF_2TE,12,23,8,5,17000.0,2.9082129997916666,3.802628446145832,-0.894415446354166,4.901715077187498,0.775775088161122
1048278093472837632,2024,SF_2TE,12,23,12,3,17000.0,3.2963622427083323,3.998274913229165,-0.7019126705208328,5.052143845833331,0.7914016376486733
1048278093472837632,2024,SF_2TE,12,23,12,5,17000.0,3.324971269895833,4.045091916874998,-0.7201206469791662,5.052143845833331,0.8006683974786503
1048901308398288896,2024,1QB,5,15,8,3,17000.0,2.126533542187499,3.167175953124999,-1.0406424109374994,3.7902997137499987,0.8356003989962838
1048901308398288896,2024,1QB,5,15,8,5,17000.0,2.110214861666666,3.175687770937499,-1.0654729092708328,3.7902997137499987,0.8378460836268743
1048901308398288896,2024,1QB,5,15,12,3,17000.0,2.4863309767708324,3.344925397916665,-0.858594421145833,3.8749999176041654,0.863206572655817
1048901308398288896,2024,1QB,5,15,12,5,17000.0,2.510927253020832,3.376958110833332,-0.8660308578124996,3.8749999176041654,0.8714730793907313
1048901308398288896,2024,1QB,12,22,8,3,17000.0,2.2031816533333326,3.2261909560416657,-1.023009302708333,4.282738593541665,0.7533009278004349
1048901308398288896,2024,1QB,12,22,8,5,17000.0,2.119547318958333,3.191784485208332,-1.0722371662499997,4.282738593541665,0.7452671732105053
1048901308398288896,2024,1QB,12,22,12,3,17000.0,2.4704010276041655,3.3202880191666657,-0.8498869915624997,4.354564143541665,0.76248458162938
1048901308398288896,2024,1QB,12,22,12,5,17000.0,2.5192148647916657,3.375888466979165,-0.8566736021874997,4.354564143541665,0.7752528968911867
1055621034914820096,2024,SF_1TE,5,15,8,3,17000.0,1.6284343979166664,3.054107450416666,-1.4256730524999994,3.5668678707291654,0.8562435058163012
1055621034914820096,2024,SF_1TE,5,15,8,5,17000.0,1.6164694512499997,3.052748151770832,-1.4362787005208328,3.5668678707291654,0.8558624155446405
1055621034914820096,2024,SF_1TE,5,15,12,3,17000.0,2.0589340037499997,3.1836005168749995,-1.1246665131249995,3.7835909379166655,0.8414230209114427
1055621034914820096,2024,SF_1TE,5,15,12,5,17000.0,2.101893081145833,3.2279660079166654,-1.126072926770833,3.7835909379166655,0.8531487840210495
1055621034914820096,2024,SF_1TE,12,22,8,3,17000.0,1.8647260373958332,3.168303918437499,-1.303577881041666,4.319224538749999,0.7335353580285083
1055621034914820096,2024,SF_1TE,12,22,8,5,17000.0,1.7143884018749995,3.0996037343749996,-1.3852153324999994,4.319224538749999,0.7176296824966728
1055621034914820096,2024,SF_1TE,12,22,12,3,17000.0,2.102034015104166,3.232482991979166,-1.1304489768749997,4.428852697291665,0.7298691586549935
1055621034914820096,2024,SF_1TE,12,22,12,5,17000.0,2.190749391145833,3.301115151458333,-1.1103657603124997,4.428852697291665,0.7453657588289249
1180084795436826624,2025,SF_1TE,5,15,8,3,17000.0,2.0317600723958336,3.017210111666666,-0.9854500392708322,3.701980449687499,0.8150259442675778
1180084795436826624,2025,SF_1TE,5,15,8,5,17000.0,2.005832372083334,3.002727123229166,-0.9968947511458324,3.701980449687499,0.811113717113941
1180084795436826624,2025,SF_1TE,5,15,12,3,17000.0,2.3971105832291664,3.239659222708332,-0.842548639479166,3.916569149374999,0.8271676304311677
1180084795436826624,2025,SF_1TE,5,15,12,5,17000.0,2.4975167332291663,3.339467810104166,-0.8419510768749993,3.916569149374999,0.8526513085150236
1180084795436826624,2025,SF_1TE,12,22,8,3,17000.0,2.081241409479167,3.0505989166666656,-0.9693575071874988,4.277157627812499,0.7132304165808493
1180084795436826624,2025,SF_1TE,12,22,8,5,17000.0,2.0383282467708335,3.030317759166666,-0.9919895123958323,4.277157627812499,0.7084886793654331
1180084795436826624,2025,SF_1TE,12,22,12,3,17000.0,2.3568984656249996,3.209560106666666,-0.852661641041666,4.332780665729165,0.7407621927537678
1180084795436826624,2025,SF_1TE,12,22,12,5,17000.0,2.450468294895833,3.311280768958332,-0.8608124740624993,4.332780665729165,0.7642391859688277
1180224010881282048,2025,1QB,5,14,8,3,17000.0,1.6433590258333333,2.6309738904166657,-0.9876148645833326,3.2875141105208328,0.8002928054352433
1180224010881282048,2025,1QB,5,14,8,5,17000.0,1.6877894009374999,2.672893544999999,-0.9851041440624991,3.2875141105208328,0.8130439764337739
1180224010881282048,2025,1QB,5,14,12,3,17000.0,2.1324819657291663,2.921494492604165,-0.7890125268749993,3.451798912395832,0.8463686810123038
1180224010881282048,2025,1QB,5,14,12,5,17000.0,2.165695271458333,2.963023227499999,-0.7973279560416661,3.451798912395832,0.8583997222026521
1180354306008649728,2025,SF_2TE,5,16,8,3,17000.0,2.5712252764583323,3.4076973206249987,-0.836472044166666,4.085439171666665,0.8341079569261632
1180354306008649728,2025,SF_2TE,5,16,8,5,17000.0,2.569572344583333,3.422892687083332,-0.8533203424999994,4.085439171666665,0.8378273530106078
1180354306008649728,2025,SF_2TE,5,16,12,3,17000.0,2.8204675851041663,3.617470566562499,-0.7970029814583328,4.215905502916665,0.8580530479299988
1180354306008649728,2025,SF_2TE,5,16,12,5,17000.0,2.925967416979166,3.710954403020832,-0.7849869860416662,4.215905502916665,0.8802271304357995
1180354306008649728,2025,SF_2TE,12,23,8,3,17000.0,2.5819933721874992,3.421179163437499,-0.8391857912499994,4.565510827187499,0.7493529843505059
1180354306008649728,2025,SF_2TE,12,23,8,5,17000.0,2.594451250416666,3.4431668213541653,-0.8487155709374994,4.565510827187499,0.7541690189080696
1180354306008649728,2025,SF_2TE,12,23,12,3,17000.0,2.809135635208333,3.6023995573958323,-0.7932639221874996,4.760741150833332,0.7566888102633472
1180354306008649728,2025,SF_2TE,12,23,12,5,17000.0,2.899244832604166,3.6969740328124985,-0.7977292002083328,4.760741150833332,0.7765543043997196
1180578870847586304,2025,SF_2TE,5,16,8,3,17000.0,2.537323136041666,3.3655282763541656,-0.8282051403124994,3.9805958843749987,0.8454835341524738
1180578870847586304,2025,SF_2TE,5,16,8,5,17000.0,2.5350338909374996,3.3846596111458322,-0.8496257202083326,3.9805958843749987,0.8502896826155123
1180578870847586304,2025,SF_2TE,5,16,12,3,17000.0,2.8332515810416665,3.5656589307291653,-0.7324073496874991,4.187994546249999,0.8514000893152825
1180578870847586304,2025,SF_2TE,5,16,12,5,17000.0,2.924258802083333,3.6421815733333323,-0.717922771249999,4.187994546249999,0.8696719952977502
1180578870847586304,2025,SF_2TE,12,23,8,3,17000.0,2.568434547604166,3.397575659791666,-0.8291411121874993,4.6098424104166655,0.7370264224465262
1180578870847586304,2025,SF_2TE,12,23,8,5,17000.0,2.590187720833333,3.430782369062499,-0.8405946482291661,4.6098424104166655,0.7442298594221151
1180578870847586304,2025,SF_2TE,12,23,12,3,17000.0,2.8044348815625,3.540605226145832,-0.7361703445833324,4.674822231145831,0.75737751107554
1180578870847586304,2025,SF_2TE,12,23,12,5,17000.0,2.882206635625,3.6179484751041655,-0.7357418394791657,4.674822231145831,0.7739221506648353
1180667636675596288,2025,1QB,5,15,8,3,17000.0,1.7206404603125003,2.8044141128124997,-1.083773652499999,3.4772541241666652,0.8065024909517036
1180667636675596288,2025,1QB,5,15,8,5,17000.0,1.7357000737500003,2.826983936874999,-1.091283863124999,3.4772541241666652,0.8129931940342424
1180667636675596288,2025,1QB,5,15,12,3,17000.0,2.1605283570833334,3.065207758645833,-0.9046794015624992,3.5598702565624993,0.8610447959431181
