capacity,QB,RB,WR,TE,cases,mean_gap,worst_gap,mean_opportunity,complete_support
15,1,2,8,4,21,0.6021942574553569,0.7295624643749998,3.263295306056547,True
15,1,2,9,3,21,0.6068281451488093,0.7194040553125003,3.258661418363094,True
15,1,2,10,2,21,0.7000902121726188,0.8486955849999998,3.165399351339285,True
15,1,2,11,1,21,0.8544038858333332,0.9880414359375004,3.0110856776785706,True
15,1,3,7,4,21,0.48506792416666655,0.5858565128124997,3.3804216393452373,True
15,1,3,8,3,21,0.46644599952380944,0.5624806850000001,3.399043563988094,True
15,1,3,9,2,21,0.5461651702083332,0.6585936443750002,3.3193243933035705,True
15,1,3,10,1,21,0.699718729032738,0.8340769943749997,3.1657708344791655,True
15,1,4,6,4,21,0.44877233130952376,0.5349878150000005,3.4167172322023798,True
15,1,4,7,3,21,0.4218274808482142,0.5476620293750001,3.443662082663689,True
15,1,4,8,2,21,0.4782167763839284,0.5832406450000001,3.3872727871279755,True
15,1,4,9,1,21,0.6182711951339284,0.7907251684375001,3.2472183683779754,True
15,1,5,5,4,21,0.44859448247023803,0.5367759378125001,3.4168950810416656,True
15,1,5,6,3,21,0.4223434920089285,0.5348442606250003,3.443146071502975,True
15,1,5,7,2,21,0.47018830949404744,0.6009112353125001,3.395301254017856,True
15,1,5,8,1,21,0.5870263593452381,0.7480606071875,3.2784632041666657,True
15,1,6,4,4,21,0.4814420741666667,0.5823195262500009,3.3840474893452375,True
15,1,6,5,3,21,0.4240754646130953,0.5210287037500003,3.4414140988988087,True
15,1,6,6,2,21,0.4723867651934524,0.5791866800000003,3.393102798318451,True
15,1,6,7,1,21,0.5808536975297619,0.7574184237499999,3.2846358659821417,True
15,1,7,3,4,21,0.6188425288244046,0.7364105196875004,3.2466470346874994,True
15,1,7,4,3,21,0.48372208517857135,0.5815741840625006,3.3817674783333325,True
15,1,7,5,2,21,0.500805036845238,0.5750436581250007,3.364684526666666,True
15,1,7,6,1,21,0.609900202172619,0.7444547509374999,3.255589361339285,True
15,1,8,3,3,21,0.6396881854613095,0.7776977012500002,3.225801378050594,True
15,1,8,4,2,21,0.5792839433630952,0.7245114884375004,3.2862056201488086,True
15,1,8,5,1,21,0.657561814985119,0.7871106612500003,3.2079277485267843,True
15,1,9,3,2,21,0.7499323710267857,0.8641327528125,3.115557192485118,True
15,1,9,4,1,21,0.7509645508779761,0.8656589596875004,3.114525012633928,True
15,2,2,7,4,21,0.3248774673511904,0.4059963628125005,3.5406120961607135,True
15,2,2,8,3,21,0.30595096696428564,0.3819578449999996,3.559538596547618,True
15,2,2,9,2,21,0.3850765584672617,0.4490205862499996,3.4804130050446425,True
15,2,2,10,1,21,0.5381493889285712,0.6156335371875006,3.327340174583332,True
15,2,3,6,4,21,0.2162999401339286,0.2969770103125002,3.649189623377975,True
15,2,3,7,3,21,0.18908541113095229,0.2680593203125001,3.676404152380951,True
15,2,3,8,2,21,0.2449491452083333,0.3272146546875003,3.62054041830357,True
15,2,3,9,1,21,0.3845284030059522,0.4628100390625,3.480961160505951,True
15,2,4,5,4,21,0.18006057159226194,0.2836334528125004,3.6854289919196415,True
15,2,4,6,3,21,0.15327162477678566,0.2266188837500005,3.7122179387351184,True
15,2,4,7,2,21,0.20035173247023813,0.2552486862499998,3.665137831041666,True
15,2,4,8,1,21,0.3168239551488095,0.4278100562500002,3.548665608363094,True
15,2,5,4,4,21,0.21140765842261905,0.3142424593749995,3.654081905089285,True
15,2,5,5,3,21,0.15345009436011905,0.2224636453125006,3.712039469151785,True
15,2,5,6,2,21,0.20070212922619035,0.2748658915625004,3.6647874342857136,True
15,2,5,7,1,21,0.3087445570982143,0.4054504587500003,3.5567450064136894,True
15,2,6,3,4,21,0.32309075988095237,0.4137755146874999,3.5423988036309515,True
15,2,6,4,3,21,0.18698488662202384,0.2718682693749996,3.67850467688988,True
15,2,6,5,2,21,0.2026862998511905,0.3109645218749999,3.6628032636607135,True
15,2,6,6,1,21,0.3109278590773809,0.3836617162500002,3.554561704434523,True
15,2,7,3,3,21,0.3250036421279761,0.4362736031250001,3.5404859213839277,True
15,2,7,4,2,21,0.26267872874999987,0.3831312334375005,3.6028108347619034,True
15,2,7,5,1,21,0.33964055334821425,0.4138325446874997,3.52584901016369,True
15,2,8,3,2,21,0.4185986269345237,0.5160696062499999,3.4468909365773803,True
15,2,8,4,1,21,0.4181101206249999,0.5162957990625001,3.447379442886904,True
