league_id,season,stratum,roster_id,week,baseline_size,active_capacity,owned_count,capacity_eligible
920523240571850752,2023,1QB,11,12,18,24,29,False
920523240571850752,2023,1QB,12,12,19,24,30,False
920523240571850752,2023,1QB,1,13,22,24,26,False
920523240571850752,2023,1QB,2,13,17,24,26,False
920523240571850752,2023,1QB,3,13,21,24,32,False
920523240571850752,2023,1QB,4,13,17,24,27,False
920523240571850752,2023,1QB,5,13,14,24,23,True
920523240571850752,2023,1QB,6,13,22,24,29,False
920523240571850752,2023,1QB,7,13,19,24,30,False
920523240571850752,2023,1QB,8,13,17,24,31,False
920523240571850752,2023,1QB,9,13,16,24,26,False
920523240571850752,2023,1QB,10,13,17,24,25,False
920523240571850752,2023,1QB,11,13,16,24,29,False
920523240571850752,2023,1QB,12,13,19,24,30,False
920523240571850752,2023,1QB,1,14,20,24,28,False
920523240571850752,2023,1QB,2,14,18,24,26,False
920523240571850752,2023,1QB,3,14,22,24,32,False
920523240571850752,2023,1QB,4,14,18,24,27,False
920523240571850752,2023,1QB,5,14,16,24,24,True
920523240571850752,2023,1QB,6,14,20,24,27,False
920523240571850752,2023,1QB,7,14,20,24,30,False
920523240571850752,2023,1QB,8,14,19,24,30,False
920523240571850752,2023,1QB,9,14,17,24,26,False
920523240571850752,2023,1QB,10,14,19,24,25,False
920523240571850752,2023,1QB,11,14,15,24,29,False
920523240571850752,2023,1QB,12,14,21,24,30,False
920523240571850752,2023,1QB,1,15,21,24,30,False
920523240571850752,2023,1QB,2,15,19,24,27,False
920523240571850752,2023,1QB,3,15,21,24,30,False
920523240571850752,2023,1QB,4,15,16,24,27,False
920523240571850752,2023,1QB,5,15,17,24,24,True
920523240571850752,2023,1QB,6,15,17,24,27,False
920523240571850752,2023,1QB,7,15,19,24,30,False
920523240571850752,2023,1QB,8,15,20,24,30,False
920523240571850752,2023,1QB,9,15,19,24,26,False
920523240571850752,2023,1QB,10,15,19,24,25,False
920523240571850752,2023,1QB,11,15,14,24,29,False
920523240571850752,2023,1QB,12,15,22,24,30,False
969999751733186560,2023,1QB,1,4,18,24,29,False
969999751733186560,2023,1QB,2,4,20,24,27,False
969999751733186560,2023,1QB,3,4,22,24,28,False
969999751733186560,2023,1QB,4,4,20,24,28,False
969999751733186560,2023,1QB,5,4,19,24,30,False
969999751733186560,2023,1QB,6,4,19,24,31,False
